Token,File,Matrix,TimePeriod
COUNTY,COUNTY.omx,COUNTY,
SOV_TIME,AM_HwySkim.omx,Trav_Time,AM
SOV_DIST,AM_HwySkim.omx,Miles,AM
HOV2_TIME,AM_HwySkim_HOV2.omx,Trav_Time,AM
HOV2_DIST,AM_HwySkim_HOV2.omx,Miles,AM
HOV3_TIME,AM_HwySkim_HOV3.omx,Trav_Time,AM
HOV3_DIST,AM_HwySkim_HOV3.omx,Miles,AM
SOV_TIME,EA_HwySkim.omx,Trav_Time,EA
SOV_DIST,EA_HwySkim.omx,Miles,EA
HOV2_TIME,EA_HwySkim_HOV2.omx,Trav_Time,EA
HOV2_DIST,EA_HwySkim_HOV2.omx,Miles,EA
HOV3_TIME,EA_HwySkim_HOV3.omx,Trav_Time,EA
HOV3_DIST,EA_HwySkim_HOV3.omx,Miles,EA
SOV_TIME,EV_HwySkim.omx,Trav_Time,EV
SOV_DIST,EV_HwySkim.omx,Miles,EV
HOV2_TIME,EV_HwySkim_HOV2.omx,Trav_Time,EV
HOV2_DIST,EV_HwySkim_HOV2.omx,Miles,EV
HOV3_TIME,EV_HwySkim_HOV3.omx,Trav_Time,EV
HOV3_DIST,EV_HwySkim_HOV3.omx,Miles,EV
SOV_TIME,MD_HwySkim.omx,Trav_Time,MD
SOV_DIST,MD_HwySkim.omx,Miles,MD
HOV2_TIME,MD_HwySkim_HOV2.omx,Trav_Time,MD
HOV2_DIST,MD_HwySkim_HOV2.omx,Miles,MD
HOV3_TIME,MD_HwySkim_HOV3.omx,Trav_Time,MD
HOV3_DIST,MD_HwySkim_HOV3.omx,Miles,MD
SOV_TIME,PM_HwySkim.omx,Trav_Time,PM
SOV_DIST,PM_HwySkim.omx,Miles,PM
HOV2_TIME,PM_HwySkim_HOV2.omx,Trav_Time,PM
HOV2_DIST,PM_HwySkim_HOV2.omx,Miles,PM
HOV3_TIME,PM_HwySkim_HOV3.omx,Trav_Time,PM
HOV3_DIST,PM_HwySkim_HOV3.omx,Miles,PM
DIST,NM_Skim_All.omx,DIST,
DISTWALK,NM_Skim.omx,DISTWALK,
DISTBIKE,NM_Skim.omx,DISTBIKE,
WLK_LOC_GC,AM_WLK_LOC_Skim.omx,Generalized Cost,AM
WLK_LOC_FARE,AM_WLK_LOC_Skim.omx,Fare,AM
WLK_LOC_IVT,AM_WLK_LOC_Skim.omx,In-Vehicle Time,AM
WLK_LOC_IWAIT,AM_WLK_LOC_Skim.omx,Initial Wait Time,AM
WLK_LOC_XWAIT,AM_WLK_LOC_Skim.omx,Transfer Wait Time,AM
WLK_LOC_XPEN,AM_WLK_LOC_Skim.omx,Transfer Penalty Time,AM
WLK_LOC_WAUX,AM_WLK_LOC_Skim.omx,Transfer Walk Time,AM
WLK_LOC_WACC,AM_WLK_LOC_Skim.omx,Access Walk Time,AM
WLK_LOC_WEGR,AM_WLK_LOC_Skim.omx,Egress Walk Time,AM
WLK_LOC_DT,AM_WLK_LOC_Skim.omx,Dwelling Time,AM
WLK_LOC_NT,AM_WLK_LOC_Skim.omx,Number of Transfers,AM
WLK_LOC_IVTT_PMov,AM_WLK_LOC_Skim.omx,IVTT_PMov,AM
WLK_LOC_IVTT_Bus,AM_WLK_LOC_Skim.omx,IVTT_Bus,AM
WLK_LOC_IVTT_StCar,AM_WLK_LOC_Skim.omx,IVTT_StCar,AM
WLK_LOC_IVTT_Brt,AM_WLK_LOC_Skim.omx,IVTT_Brt,AM
WLK_LOC_IVTT_UrbRail,AM_WLK_LOC_Skim.omx,IVTT_UrbRail,AM
WLK_LOC_IVTT_ComRail,AM_WLK_LOC_Skim.omx,IVTT_ComRail,AM
WLK_PRM_GC,AM_WLK_PRM_Skim.omx,Generalized Cost,AM
WLK_PRM_FARE,AM_WLK_PRM_Skim.omx,Fare,AM
WLK_PRM_IVT,AM_WLK_PRM_Skim.omx,In-Vehicle Time,AM
WLK_PRM_IWAIT,AM_WLK_PRM_Skim.omx,Initial Wait Time,AM
WLK_PRM_XWAIT,AM_WLK_PRM_Skim.omx,Transfer Wait Time,AM
WLK_PRM_XPEN,AM_WLK_PRM_Skim.omx,Transfer Penalty Time,AM
WLK_PRM_WAUX,AM_WLK_PRM_Skim.omx,Transfer Walk Time,AM
WLK_PRM_WACC,AM_WLK_PRM_Skim.omx,Access Walk Time,AM
WLK_PRM_WEGR,AM_WLK_PRM_Skim.omx,Egress Walk Time,AM
WLK_PRM_DT,AM_WLK_PRM_Skim.omx,Dwelling Time,AM
WLK_PRM_NT,AM_WLK_PRM_Skim.omx,Number of Transfers,AM
WLK_PRM_IVTT_PMov,AM_WLK_PRM_Skim.omx,IVTT_PMov,AM
WLK_PRM_IVTT_Bus,AM_WLK_PRM_Skim.omx,IVTT_Bus,AM
WLK_PRM_IVTT_StCar,AM_WLK_PRM_Skim.omx,IVTT_StCar,AM
WLK_PRM_IVTT_Brt,AM_WLK_PRM_Skim.omx,IVTT_Brt,AM
WLK_PRM_IVTT_UrbRail,AM_WLK_PRM_Skim.omx,IVTT_UrbRail,AM
WLK_PRM_IVTT_ComRail,AM_WLK_PRM_Skim.omx,IVTT_ComRail,AM
WLK_MIX_GC,AM_WLK_MIX_Skim.omx,Generalized Cost,AM
WLK_MIX_FARE,AM_WLK_MIX_Skim.omx,Fare,AM
WLK_MIX_IVT,AM_WLK_MIX_Skim.omx,In-Vehicle Time,AM
WLK_MIX_IWAIT,AM_WLK_MIX_Skim.omx,Initial Wait Time,AM
WLK_MIX_XWAIT,AM_WLK_MIX_Skim.omx,Transfer Wait Time,AM
WLK_MIX_XPEN,AM_WLK_MIX_Skim.omx,Transfer Penalty Time,AM
WLK_MIX_WAUX,AM_WLK_MIX_Skim.omx,Transfer Walk Time,AM
WLK_MIX_WACC,AM_WLK_MIX_Skim.omx,Access Walk Time,AM
WLK_MIX_WEGR,AM_WLK_MIX_Skim.omx,Egress Walk Time,AM
WLK_MIX_DT,AM_WLK_MIX_Skim.omx,Dwelling Time,AM
WLK_MIX_NT,AM_WLK_MIX_Skim.omx,Number of Transfers,AM
WLK_MIX_IVTT_PMov,AM_WLK_MIX_Skim.omx,IVTT_PMov,AM
WLK_MIX_IVTT_Bus,AM_WLK_MIX_Skim.omx,IVTT_Bus,AM
WLK_MIX_IVTT_StCar,AM_WLK_MIX_Skim.omx,IVTT_StCar,AM
WLK_MIX_IVTT_Brt,AM_WLK_MIX_Skim.omx,IVTT_Brt,AM
WLK_MIX_IVTT_UrbRail,AM_WLK_MIX_Skim.omx,IVTT_UrbRail,AM
WLK_MIX_IVTT_ComRail,AM_WLK_MIX_Skim.omx,IVTT_ComRail,AM
PNR_LOC_GC,AM_DRV_LOC_Skim.omx,Generalized Cost,AM
