id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,Total,28618.0,120478.0,2351687.0,2500783.0
1,atwork,528.0,24211.0,226467.0,251206.0
1,idisc,8319.0,13540.0,425061.0,446920.0
1,imain,10148.0,17999.0,718028.0,746175.0
1,jdisc,0.0,0.0,0.0,0.0
1,jmain,0.0,0.0,0.0,0.0
1,sch,258.0,393.0,31837.0,32488.0
1,univ,4217.0,3706.0,61112.0,69035.0
1,work,5148.0,60629.0,889182.0,954959.0
2,Total,50976.0,94917.0,1587683.0,1733576.0
2,atwork,1293.0,4041.0,69007.0,74341.0
2,idisc,9389.0,6560.0,209318.0,225267.0
2,imain,16188.0,24841.0,464470.0,505499.0
2,jdisc,7320.0,8606.0,404428.0,420354.0
2,jmain,7320.0,8606.0,404428.0,420354.0
2,sch,1865.0,7373.0,131815.0,141053.0
2,univ,7404.0,5281.0,35142.0,47827.0
2,work,7517.0,38215.0,273503.0,319235.0
3,Total,55387.055350553506,90869.20958083832,1299048.319665272,1445304.5845966637
3,atwork,1230.0,4434.0,37381.0,43045.0
3,idisc,14667.0,11693.0,174152.0,200512.0
3,imain,14180.0,15901.0,379610.0,409691.0
3,jdisc,7305.055350553506,16175.209580838322,260678.319665272,284158.58459666383
3,jmain,7305.055350553506,16175.209580838322,260678.319665272,284158.58459666383
3,sch,13729.0,15151.0,306410.0,335290.0
3,univ,3614.0,7762.0,28176.0,39552.0
3,work,662.0,19753.0,112641.0,133056.0
4,Total,79209.16959064327,25922.79781420765,318762.02552467387,423893.9929295248
4,atwork,1034.0,2080.0,44226.0,47340.0
4,idisc,26823.0,5918.0,113286.0,146027.0
4,imain,22365.0,3976.0,54945.0,81286.0
4,jdisc,4189.169590643275,5366.79781420765,47985.02552467385,57540.99292952478
4,jmain,4189.169590643275,5366.79781420765,47985.02552467385,57540.99292952478
4,sch,7676.0,2179.0,32755.0,42610.0
4,univ,13535.0,2498.0,15985.0,32018.0
4,work,3587.0,3905.0,9580.0,17072.0
5,Total,10879.054054054053,13512.0,63728.828571428574,88119.88262548263
5,atwork,597.0,0.0,406.0,1003.0
5,idisc,1534.0,2834.0,18870.0,23238.0
5,imain,1243.0,2154.0,14941.0,18338.0
5,jdisc,1158.054054054054,2272.0,5177.828571428572,8607.882625482627
5,jmain,1158.054054054054,2272.0,5177.828571428572,8607.882625482627
5,sch,0.0,673.0,9769.0,10442.0
5,univ,2861.0,858.0,4235.0,7954.0
5,work,3486.0,4721.0,10330.0,18537.0
6,Total,32322.89552238806,14576.625,17070.8,63970.32052238806
6,atwork,35.0,28.0,59.0,122.0
6,idisc,4047.0,1265.0,1717.0,7029.0
6,imain,8746.0,2379.0,2833.0,13958.0
6,jdisc,1427.8955223880598,548.625,582.8000000000001,2559.32052238806
6,jmain,1427.8955223880598,548.625,582.8000000000001,2559.32052238806
6,sch,501.0,738.0,1070.0,2309.0
6,univ,7624.0,2299.0,5028.0,14951.0
6,work,9942.0,7319.0,5781.0,23042.0
7,Total,0.0,1759.0,5074.0,6833.0
7,atwork,0.0,0.0,4.0,4.0
7,idisc,0.0,100.0,158.0,258.0
7,imain,0.0,156.0,222.0,378.0
7,jdisc,0.0,33.0,45.0,78.0
7,jmain,0.0,33.0,45.0,78.0
7,sch,0.0,19.0,16.0,35.0
7,univ,0.0,315.0,881.0,1196.0
7,work,0.0,1136.0,3748.0,4884.0
8,Total,1035.0,646.0,521.0,2202.0
8,atwork,1.0,2.0,0.0,3.0
8,idisc,148.0,34.0,85.0,267.0
8,imain,228.0,112.0,134.0,474.0
8,jdisc,45.0,35.0,9.0,89.0
8,jmain,45.0,35.0,9.0,89.0
8,sch,29.0,52.0,29.0,110.0
8,univ,30.0,19.0,12.0,61.0
8,work,554.0,392.0,252.0,1198.0
9,Total,19504.0,13907.0,256146.0,289557.0
9,atwork,0.0,0.0,0.0,0.0
9,idisc,0.0,0.0,0.0,0.0
9,imain,0.0,0.0,0.0,0.0
9,jdisc,0.0,0.0,0.0,0.0
9,jmain,0.0,0.0,0.0,0.0
9,sch,19504.0,13907.0,256146.0,289557.0
9,univ,0.0,0.0,0.0,0.0
9,work,0.0,0.0,0.0,0.0
10,Total,6179.0,3179.764705882353,29918.611374407585,39277.376080289934
10,atwork,24.0,203.0,1136.0,1363.0
10,idisc,482.0,1028.0,14611.0,16121.0
10,imain,4940.0,140.0,894.0,5974.0
10,jdisc,0.0,455.7647058823529,12637.611374407583,13093.376080289936
10,jmain,0.0,455.7647058823529,12637.611374407583,13093.376080289936
10,sch,0.0,0.0,0.0,0.0
10,univ,0.0,118.0,201.0,319.0
10,work,733.0,1235.0,439.0,2407.0
