tripmode,tourmode,purpose,value,grp_var
1,Auto SOV,work,2586180,worktourmode1
2,Auto SOV,work,0,worktourmode1
3,Auto SOV,work,0,worktourmode1
4,Auto SOV,work,13810,worktourmode1
5,Auto SOV,work,0,worktourmode1
6,Auto SOV,work,0,worktourmode1
7,Auto SOV,work,0,worktourmode1
8,Auto SOV,work,0,worktourmode1
9,Auto SOV,work,0,worktourmode1
10,Auto SOV,work,0,worktourmode1
10,Auto SOV,work,0,worktourmode1
10,Auto SOV,work,0,worktourmode1
1,Auto 2 Person,work,298893,worktourmode2
2,Auto 2 Person,work,554236,worktourmode2
3,Auto 2 Person,work,0,worktourmode2
4,Auto 2 Person,work,10604,worktourmode2
5,Auto 2 Person,work,0,worktourmode2
6,Auto 2 Person,work,0,worktourmode2
7,Auto 2 Person,work,0,worktourmode2
8,Auto 2 Person,work,0,worktourmode2
9,Auto 2 Person,work,0,worktourmode2
10,Auto 2 Person,work,0,worktourmode2
10,Auto 2 Person,work,0,worktourmode2
10,Auto 2 Person,work,0,worktourmode2
1,Auto 3+ Person,work,114229,worktourmode3
2,Auto 3+ Person,work,94147,worktourmode3
3,Auto 3+ Person,work,147612,worktourmode3
4,Auto 3+ Person,work,2336,worktourmode3
5,Auto 3+ Person,work,0,worktourmode3
6,Auto 3+ Person,work,0,worktourmode3
7,Auto 3+ Person,work,0,worktourmode3
8,Auto 3+ Person,work,0,worktourmode3
9,Auto 3+ Person,work,0,worktourmode3
10,Auto 3+ Person,work,0,worktourmode3
10,Auto 3+ Person,work,0,worktourmode3
10,Auto 3+ Person,work,0,worktourmode3
1,Walk,work,0,worktourmode4
2,Walk,work,0,worktourmode4
3,Walk,work,0,worktourmode4
4,Walk,work,36019,worktourmode4
5,Walk,work,0,worktourmode4
6,Walk,work,0,worktourmode4
7,Walk,work,0,worktourmode4
8,Walk,work,0,worktourmode4
9,Walk,work,0,worktourmode4
10,Walk,work,0,worktourmode4
10,Walk,work,0,worktourmode4
10,Walk,work,0,worktourmode4
1,Bike/Moped,work,0,worktourmode5
2,Bike/Moped,work,0,worktourmode5
3,Bike/Moped,work,0,worktourmode5
4,Bike/Moped,work,0,worktourmode5
