GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26001000100,26001000100,Census Tract 1, Alcona County, Michigan,892,26,338,419,92,17
1400000US26001970100,26001970100,Census Tract 9701, Alcona County, Michigan,1129,63,381,473,172,40
1400000US26001970400,26001970400,Census Tract 9704, Alcona County, Michigan,1249,47,461,509,173,59
1400000US26001970500,26001970500,Census Tract 9705, Alcona County, Michigan,1010,28,425,403,98,56
1400000US26001970600,26001970600,Census Tract 9706, Alcona County, Michigan,699,22,273,265,115,24
1400000US26001990000,26001990000,Census Tract 9900, Alcona County, Michigan,0,0,0,0,0,0
1400000US26003000100,26003000100,Census Tract 1, Alger County, Michigan,1320,85,544,499,161,31
1400000US26003000200,26003000200,Census Tract 2, Alger County, Michigan,1110,71,359,483,121,76
1400000US26003000300,26003000300,Census Tract 3, Alger County, Michigan,814,46,198,350,191,29
1400000US26003990000,26003990000,Census Tract 9900, Alger County, Michigan,0,0,0,0,0,0
1400000US26005030200,26005030200,Census Tract 302, Allegan County, Michigan,1300,26,287,539,298,150
1400000US26005030300,26005030300,Census Tract 303, Allegan County, Michigan,2648,47,505,1258,610,228
1400000US26005030401,26005030401,Census Tract 304.01, Allegan County, Michigan,2585,16,599,1159,462,349
1400000US26005030402,26005030402,Census Tract 304.02, Allegan County, Michigan,1766,60,214,1059,305,128
1400000US26005030500,26005030500,Census Tract 305, Allegan County, Michigan,2702,170,748,1117,371,296
1400000US26005030600,26005030600,Census Tract 306, Allegan County, Michigan,1832,56,370,883,302,221
1400000US26005030702,26005030702,Census Tract 307.02, Allegan County, Michigan,1710,27,260,887,291,245
1400000US26005030703,26005030703,Census Tract 307.03, Allegan County, Michigan,1036,70,309,471,128,58
1400000US26005030704,26005030704,Census Tract 307.04, Allegan County, Michigan,1656,88,431,727,279,131
1400000US26005030800,26005030800,Census Tract 308, Allegan County, Michigan,2274,62,668,1107,317,120
1400000US26005030901,26005030901,Census Tract 309.01, Allegan County, Michigan,1197,28,300,602,185,82
1400000US26005030902,26005030902,Census Tract 309.02, Allegan County, Michigan,1041,23,299,476,187,56
1400000US26005031000,26005031000,Census Tract 310, Allegan County, Michigan,2030,189,700,706,243,192
1400000US26005031100,26005031100,Census Tract 311, Allegan County, Michigan,2662,93,811,1104,456,198
1400000US26005031200,26005031200,Census Tract 312, Allegan County, Michigan,2009,143,554,851,216,245
1400000US26005031300,26005031300,Census Tract 313, Allegan County, Michigan,1769,30,448,788,342,161
1400000US26005031800,26005031800,Census Tract 318, Allegan County, Michigan,1864,111,635,676,301,141
1400000US26005031900,26005031900,Census Tract 319, Allegan County, Michigan,1913,160,615,765,301,72
1400000US26005032000,26005032000,Census Tract 320, Allegan County, Michigan,2088,97,803,722,392,74
1400000US26005032100,26005032100,Census Tract 321, Allegan County, Michigan,1735,27,380,939,247,142
1400000US26005032200,26005032200,Census Tract 322, Allegan County, Michigan,1987,123,822,752,181,109
1400000US26005032401,26005032401,Census Tract 324.01, Allegan County, Michigan,617,26,267,247,40,37
1400000US26005032402,26005032402,Census Tract 324.02, Allegan County, Michigan,1424,73,305,605,292,149
1400000US26005032600,26005032600,Census Tract 326, Allegan County, Michigan,711,10,316,295,33,57
1400000US26005990000,26005990000,Census Tract 9900, Allegan County, Michigan,0,0,0,0,0,0
1400000US26007000100,26007000100,Census Tract 1, Alpena County, Michigan,1895,84,522,808,308,173
1400000US26007000200,26007000200,Census Tract 2, Alpena County, Michigan,1707,61,444,762,287,153
1400000US26007000300,26007000300,Census Tract 3, Alpena County, Michigan,1470,47,483,636,241,63
1400000US26007000400,26007000400,Census Tract 4, Alpena County, Michigan,1345,205,600,419,96,25
1400000US26007000500,26007000500,Census Tract 5, Alpena County, Michigan,909,91,510,218,65,25
1400000US26007000600,26007000600,Census Tract 6, Alpena County, Michigan,1370,143,472,608,78,69
1400000US26007000700,26007000700,Census Tract 7, Alpena County, Michigan,1364,157,519,477,116,95
1400000US26007000800,26007000800,Census Tract 8, Alpena County, Michigan,1451,131,549,647,121,3
1400000US26007000900,26007000900,Census Tract 9, Alpena County, Michigan,1278,75,448,518,167,70
1400000US26007990000,26007990000,Census Tract 9900, Alpena County, Michigan,0,0,0,0,0,0
1400000US26009960100,26009960100,Census Tract 9601, Antrim County, Michigan,1097,26,341,453,212,65
1400000US26009960200,26009960200,Census Tract 9602, Antrim County, Michigan,1300,50,347,605,212,86
1400000US26009960300,26009960300,Census Tract 9603, Antrim County, Michigan,1223,47,394,551,158,73
1400000US26009960400,26009960400,Census Tract 9604, Antrim County, Michigan,1386,86,364,644,231,61
1400000US26009960500,26009960500,Census Tract 9605, Antrim County, Michigan,1358,14,319,667,254,104
1400000US26009960600,26009960600,Census Tract 9606, Antrim County, Michigan,1541,42,582,686,170,61
1400000US26009960700,26009960700,Census Tract 9607, Antrim County, Michigan,1827,120,560,709,302,136
1400000US26009990000,26009990000,Census Tract 9900, Antrim County, Michigan,0,0,0,0,0,0
1400000US26011970100,26011970100,Census Tract 9701, Arenac County, Michigan,1039,26,334,439,198,42
1400000US26011970200,26011970200,Census Tract 9702, Arenac County, Michigan,1318,99,415,510,221,73
1400000US26011970300,26011970300,Census Tract 9703, Arenac County, Michigan,1139,56,391,472,150,70
1400000US26011970400,26011970400,Census Tract 9704, Arenac County, Michigan,1372,90,534,535,148,65
1400000US26011970500,26011970500,Census Tract 9705, Arenac County, Michigan,1795,123,721,640,219,92
1400000US26011990000,26011990000,Census Tract 9900, Arenac County, Michigan,0,0,0,0,0,0
1400000US26011990100,26011990100,Census Tract 9901, Arenac County, Michigan,0,0,0,0,0,0
1400000US26013000100,26013000100,Census Tract 1, Baraga County, Michigan,1820,106,624,796,234,60
1400000US26013000200,26013000200,Census Tract 2, Baraga County, Michigan,1189,74,398,480,166,71
1400000US26013990100,26013990100,Census Tract 9901, Baraga County, Michigan,0,0,0,0,0,0
1400000US26015010100,26015010100,Census Tract 101, Barry County, Michigan,2295,129,619,984,402,161
1400000US26015010200,26015010200,Census Tract 102, Barry County, Michigan,2042,51,416,901,444,230
1400000US26015010300,26015010300,Census Tract 103, Barry County, Michigan,2908,73,686,1383,406,360
1400000US26015010401,26015010401,Census Tract 104.01, Barry County, Michigan,1413,69,366,514,344,120
1400000US26015010402,26015010402,Census Tract 104.02, Barry County, Michigan,1758,35,395,827,372,129
1400000US26015010500,26015010500,Census Tract 105, Barry County, Michigan,1271,7,246,668,235,115
