"","PERTYPE","DAP","freq"
"1",1,"H",150479.4022671
"2",1,"M",1212443.7014613
"3",1,"N",265785.6827696
"4",2,"H",44041.5240367
"5",2,"M",100611.497613
"6",2,"N",149508.0150846
"7",3,"H",59104.101064
"8",3,"M",191734.4384859
"9",3,"N",60177.4162576
"10",4,"H",216254.558862
"11",4,"N",549662.1064485
"12",5,"H",136407.580618
"13",5,"N",398398.6506194
"14",6,"H",10764.333466
"15",6,"M",125204.4152109
"16",6,"N",9323.6627058
"17",7,"H",37481.5445564
"18",7,"M",517944.8732602
"19",7,"N",34991.1912436
"20",8,"H",95178.3313626
"21",8,"M",129409.7479062
"22",8,"N",141236.1106106
"23",NA,"H",1941.6078296
"24",NA,"M",3751.1885355
"25",NA,"N",1132.3177367
