"","PERTYPE","DAP","freq"
"1","1","H",150479.4022671
"2","2","H",44041.5240367
"3","3","H",59104.101064
"4","4","H",216254.558862
"5","5","H",136407.580618
"6","6","H",10764.333466
"7","7","H",37481.5445564
"8","8","H",95178.3313626
"9","Total","H",749711.3762328
"10","1","M",1212443.7014613
"11","2","M",100611.497613
"12","3","M",191734.4384859
"13","4","M",0
"14","5","M",0
"15","6","M",125204.4152109
"16","7","M",517944.8732602
"17","8","M",129409.7479062
"18","Total","M",2277348.6739375
"19","1","N",265785.6827696
"20","2","N",149508.0150846
"21","3","N",60177.4162576
"22","4","N",549662.1064485
"23","5","N",398398.6506194
"24","6","N",9323.6627058
"25","7","N",34991.1912436
"26","8","N",141236.1106106
"27","Total","N",1609082.8357397
