"","PERTYPE","nmtours","freq"
"1","1","0",1043670.4459668
"2","2","0",97222.4630151
"3","3","0",192675.4406177
"4","4","0",216254.558862
"5","5","0",136407.580618
"6","6","0",99090.685186
"7","7","0",418470.4546361
"8","8","0",195427.1673589
"9","Total","0",2399218.7962606
"10","1","1",446040.0536842
"11","2","1",111877.8807292
"12","3","1",73012.2691836
"13","4","1",301003.7300771
"14","5","1",238955.7423193
"15","6","1",36924.3051272
"16","7","1",160986.6534775
"17","8","1",118726.4562881
"18","Total","1",1487527.0908862
"19","1","2",112880.9416533
"20","2","2",56681.0909383
"21","3","2",31294.9421005
"22","4","2",168537.1471887
"23","5","2",115961.0673542
"24","6","2",8035.1815923
"25","7","2",10373.2929251
"26","8","2",39788.5234296
"27","Total","2",543552.187182
"28","1","3pl",26117.3451937
"29","2","3pl",28379.6020517
"30","3","3pl",14033.3039057
"31","4","3pl",80121.2291827
"32","5","3pl",43481.8409459
"33","6","3pl",1242.2394772
"34","7","3pl",587.2080215
"35","8","3pl",11882.0428028
"36","Total","3pl",205844.8115812
