"HH_ID","JTRIP_ID","uid","NUMBER_HH","PERSON_1","PERSON_2","PERSON_3","PERSON_4","PERSON_5","PERSON_6","PERSON_7","PERSON_8","PERSON_9","COMPOSITION","TOUR_ID","JTOUR_ID","finalweight","stops","TOURPURP","DEST_PURP","TRIPMODE","TOURMODE","ORIG_TAZ","DEST_TAZ","TOUROTAZ","TOURDTAZ","DEST_DEP_BIN_RECODE","ORIG_DEP_BIN_RECODE","IS_INBOUND","ANCHOR_DEPART_HOUR","ANCHOR_DEPART_MIN","PERTYPE_1","PERTYPE_2","PERTYPE_3","PERTYPE_4","PERTYPE_5","PERTYPE_6","PERTYPE_7","PERTYPE_8","PERTYPE_9","AGE_1","AGE_2","AGE_3","AGE_4","AGE_5","AGE_6","AGE_7","AGE_8","AGE_9","MAX_AGE"
12,3,"12-3",3,1,2,3,NA,NA,NA,NA,NA,NA,3,3,1,148.7449387,0,9,9,3,3,990,1209,990,1209,32,30,0,17,30,4,1,7,0,0,0,0,0,0,22,29,6,0,0,0,0,0,0,29
12,4,"12-4",3,1,2,3,NA,NA,NA,NA,NA,NA,3,3,1,148.7449387,0,9,0,3,3,1209,990,990,1209,48,32,1,17,30,4,1,7,0,0,0,0,0,0,22,29,6,0,0,0,0,0,0,29
19,1,"19-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,146.79485856,1,1,5,2,2,2765,2699,2765,2743,30,28,0,16,47,1,1,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,60
19,2,"19-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,146.79485856,0,1,1,2,2,2699,2743,2765,2743,35,30,0,16,47,1,1,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,60
19,3,"19-3",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,146.79485856,1,1,6,2,2,2743,2789,2765,2743,36,35,1,16,47,1,1,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,60
19,4,"19-4",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,146.79485856,0,1,0,2,2,2789,2765,2765,2743,48,36,1,16,47,1,1,0,0,0,0,0,0,0,60,56,0,0,0,0,0,0,0,60
30,1,"30-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,1,5,5,2,2,2282,2263,2282,2259,16,16,0,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
30,2,"30-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,1,5,7,2,2,2263,2305,2282,2259,20,16,0,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
30,3,"30-3",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,1,5,5,2,2,2305,2307,2282,2259,22,20,0,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
30,4,"30-4",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,1,5,5,2,2,2307,2200,2282,2259,24,22,0,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
30,5,"30-5",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,0,5,5,2,2,2200,2259,2282,2259,26,24,0,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
30,6,"30-6",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,48.188402524,0,5,0,2,2,2259,2282,2282,2259,48,26,1,10,30,5,5,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,70
32,1,"32-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,191.68482354,0,7,7,2,2,2765,2766,2765,2766,37,35,0,20,0,1,1,0,0,0,0,0,0,0,31,44,0,0,0,0,0,0,0,44
32,2,"32-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,191.68482354,0,7,0,2,2,2766,2765,2765,2766,48,37,1,20,0,1,1,0,0,0,0,0,0,0,31,44,0,0,0,0,0,0,0,44
36,1,"36-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,539.0288032,0,6,6,2,2,36,23,36,23,21,15,0,10,15,4,4,0,0,0,0,0,0,0,62,47,0,0,0,0,0,0,0,62
36,2,"36-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,539.0288032,1,6,6,2,2,23,264,36,23,24,21,1,10,15,4,4,0,0,0,0,0,0,0,62,47,0,0,0,0,0,0,0,62
36,3,"36-3",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,539.0288032,0,6,0,2,2,264,36,36,23,48,24,1,10,15,4,4,0,0,0,0,0,0,0,62,47,0,0,0,0,0,0,0,62
39,1,"39-1",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,366.195851076,0,9,9,2,2,2222,2336,2222,2336,9,8,0,6,30,5,2,0,0,0,0,0,0,0,75,69,0,0,0,0,0,0,0,75
39,2,"39-2",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,366.195851076,1,9,7,2,2,2336,2236,2222,2336,9,9,1,6,30,5,2,0,0,0,0,0,0,0,75,69,0,0,0,0,0,0,0,75
39,3,"39-3",2,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,366.195851076,0,9,0,2,2,2236,2222,2222,2336,11,9,1,6,30,5,2,0,0,0,0,0,0,0,75,69,0,0,0,0,0,0,0,75
39,4,"39-4",2,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,210.269030265,0,5,5,2,2,2222,2214,2222,2214,20,17,0,11,15,2,5,0,0,0,0,0,0,0,69,97,0,0,0,0,0,0,0,97
39,5,"39-5",2,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,2,210.269030265,0,5,0,2,2,2214,2222,2222,2214,48,20,1,11,15,2,5,0,0,0,0,0,0,0,69,97,0,0,0,0,0,0,0,97
