"","PERTYPE","MTF","freq"
"1","1","1",1139646.8925065
"2","2","1",99077.6245124
"3","3","1",31005.0999317
"4","6","1",1755.6623208
"5","7","1",0
"6","8","1",0
"7","Total","1",1271485.2792714
"8","1","2",43372.6378272
"9","2","2",1533.8731006
"10","3","2",0
"11","6","2",0
"12","7","2",0
"13","8","2",0
"14","Total","2",44906.5109278
"15","1","3",19814.9584256
"16","2","3",0
"17","3","3",141418.7035422
"18","6","3",113631.8092313
"19","7","3",506530.1213831
"20","8","3",126920.0261491
"21","Total","3",908315.6187313
"22","1","4",1544.0479538
"23","2","4",0
"24","3","4",9393.8234694
"25","6","4",4125.6438603
"26","7","4",11414.7518771
"27","8","4",2489.7217571
"28","Total","4",28967.9889177
"29","1","5",8065.1647482
"30","2","5",0
"31","3","5",9916.8115426
"32","6","5",5691.2997985
"33","7","5",0
"34","8","5",0
"35","Total","5",23673.2760893
