"","esco","imain","idisc","jmain","jdisc","atwork"
"1",100205.259293329,122468.194884344,206293.687541538,13225.920708692,16795.785000116,52292.423291489
"2",104321.437062219,174784.071173896,143211.582157083,14006.866107148,15461.844051257,38752.253682052
"3",80301.892136053,151019.356990708,122571.891209217,19436.655366316,16219.352960639,35344.965871282
"4",61233.743852873,116631.952724728,92984.329002627,14008.00923138,15505.426632131,25581.337325938
"5",42915.524672152,78655.742075737,84684.612486676,12145.297900813,12931.328847907,11130.304985315
"6",31172.199370846,71580.727518371,53545.086946572,7652.780821285,9332.822746222,11658.108987995
"7",32299.470950508,51492.144155885,43694.159699592,10314.473659976,6108.646383716,6297.762093378
"8",16903.680145454,49195.063070182,34404.806367805,4511.464741401,6766.747098736,8229.022193992
"9",18497.288748648,29879.589717474,30513.160170701,3520.415454204,4521.568597414,5104.392790785
"10",12599.187452264,30563.171123726,22300.506033371,3590.930066974,4462.904053416,4896.264480155
"11",6577.881176433,23652.640435332,17776.400722973,3019.494861103,2181.704678187,4114.863336944
"12",3873.115997854,21651.471987967,17668.058194193,2674.685297755,4814.875352811,2469.768681434
"13",4934.697263747,16579.010431928,20719.230912953,2863.113899257,1109.980721644,4245.372025157
"14",14622.325062551,17071.704825983,13943.089108849,3730.130353549,1876.147557092,975.546751564
"15",2877.261806569,11153.475968487,9654.960260913,2959.967051796,1485.151568022,2483.380036139
"16",3760.749798723,10698.418930735,10869.986226803,1627.509005477,2206.877071019,1684.776490095
"17",2224.277004022,6831.938137419,9129.861004528,1507.693827567,1386.397872508,1961.302641675
"18",1440.432321708,10457.103569653,6144.875715281,1224.665317852,2019.09369483,2284.753071789
"19",3588.35191851,10919.353723366,9755.096177111,1282.046454176,1673.35786021,1576.402524327
"20",3184.044322382,4208.401295105,5032.731897143,1015.316342581,543.084217071,1121.063920149
"21",396.959921012,8325.393596421,5489.835796908,635.218348294,1465.354668945,449.928247097
"22",1865.898280768,5012.805467447,4148.469529821,577.582983634,238.56909244,793.93147746
"23",711.78832544,4835.651460009,5299.699961702,725.152377689,400.621404088,1250.496765025
"24",756.45514554,3739.837384828,2445.119067335,0,320.085073001,179.376168409
"25",1096.89375638,4781.051898814,2728.542411259,381.980502791,869.629859063,499.640853799
"26",503.56427524,4058.128953031,1027.839944856,24.5310492,68.56578906,631.062650624
"27",1786.692147448,1036.28815665,1879.49199141,362.142992954,0,160.792882104
"28",390.559203668,3096.81946219,1478.934858545,61.834539586,792.509883019,1269.051259455
"29",1043.87203768,2160.521709516,1934.069470281,11.796480419,197.424881887,983.647573206
"30",491.311297532,2410.402314731,3463.846552498,428.967033064,427.171571034,92.99304756
"31",196.168995081,3559.596112884,625.398412189,400.902374524,694.852296345,0
"32",2389.4303131,1628.159378718,1497.769312191,152.68590072,38.6018643,221.83019439
"33",338.970517365,1059.3892478,776.574331585,76.42513095,162.594816349,204.248165625
"34",0,1039.71522522,1017.552052182,21.078368988,205.151152737,0
"35",209.213513806,835.01402588,342.63920011,84.850302384,194.60369121,139.85465991
"36",45.99165795,1170.835206649,552.087408491,31.177550893,400.424593473,553.778224919
"37",160.548261905,707.958606739,94.954619357,165.629854126,84.703250725,0
"38",1984.766943868,1934.084048804,2090.425435002,104.280085,89.893900666,70.51181916
"39",34.767298965,427.577860358,483.213488123,263.921387669,545.318925652,0
"40",0,986.400038938,670.83546676,259.350311,213.182959196,0
"41",4698.949747151,11879.65943194,6577.597386562,1599.886963177,996.394925308,1042.265355516
