"","SAMPNO","PERNO","AGE","AAGE","AGE_AAGE","AGE18","SEX","LIC","NOLIC","NOLIC_O","DRIVE","NODRIVE","NODRIVE_O","EMPLY","EMPYTYPE","EMPYTYPE_O","JOBS","EMPLYNOJOB","WKSTAT","WKSTAT_O","WPLACE","WMODE","WMODE_O","INDUS","INDUS_O","DELIV_DRIV","TCOFF","TCDAYS","STUDE","SCHOL","SCHOL_O","SLOC","SWEB","SMODE","SMODE_O","EDUC","EDUC_O","NOGOWHY","NOGOWHY_O","PERTRIPS","PERTYPE","PERRKWT0"
"1",2000400,1,62,NA,4,NA,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,6,5,210.6620679
"2",2000402,1,28,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,1,NA,54,NA,2,1,1,3,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,1,686.9330689
"3",2000402,2,27,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,81,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,1,608.6972182
"4",2000677,1,54,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,7,1,75.0080824
"5",2000677,2,50,NA,4,NA,2,1,NA,NA,1,NA,NA,1,2,NA,1,NA,0,NA,1,4,NA,61,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,1,68.0456709
"6",2000963,1,79,NA,6,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,3,4,NA,62,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,10,1,114.4074814
"7",2000978,1,41,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,3,NA,0,NA,1,4,NA,31,NA,2,2,NA,2,8,NA,NA,2,4,NA,6,NA,NA,NA,11,3,664.8174147
"8",2000996,1,32,NA,4,NA,1,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,1,0,2,8,NA,NA,1,NA,NA,5,NA,NA,NA,3,3,85.1903101
"9",2000996,2,29,NA,4,NA,2,1,NA,NA,1,NA,NA,1,1,NA,1,NA,0,NA,1,4,NA,54,NA,2,1,0,3,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,6,1,87.0679218
"10",2000996,3,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,8,94.2956727
