"distbin","Detroit","Livingston","Macomb","Monroe","Oakland","St. Clair","Washtenaw","Wayne","Total"
1,15523.129413,2592.8595536,24662.8663982,1455.5813812,29337.697385,3070.1432223,4798.1630762,43916.3032567,125356.7436862
2,23899.604077,1296.8917875,31781.6163768,5005.0296936,55796.0772022,4707.3472299,9064.8307164,48549.2559936,180100.653077
3,23495.8349547,3827.756521,25189.3426751,4350.565327,34708.5248953,3204.3213462,7958.1560491,40694.5875242,143429.0892926
4,10721.7683436,3178.1136764,21376.5745702,4241.9159772,26779.1994361,2287.750413,6148.5889759,21341.0685617,96074.9799541
5,5952.5070063,6380.5797304,12498.8790246,2881.4660184,23545.9917752,2582.4644706,8153.8300923,19214.1305341,81209.8486519
6,4326.9891594,5195.6203846,6542.7358159,1387.6217545,9674.5564315,2554.8180071,5638.4124344,15695.6141695,51016.3681569
7,4794.8719845,1622.4070612,4649.3226016,1279.5501687,7972.2519271,3598.4893995,2814.3509641,6392.899395,33124.1435017
8,6735.155802,1840.6576445,3566.4480393,473.2276663,9423.9937368,1283.9981171,2778.8070248,2975.661989,29077.9500198
9,5957.5849108,2456.3502537,1763.0713214,310.6516198,3961.7651435,146.8402287,1430.4296565,2046.7550609,18073.4481953
10,3020.5803267,1962.6359191,2931.1715346,953.5671328,2384.2663325,297.8795222,2012.9863698,2428.5002086,15991.5873463
11,86.2536482,386.5541277,1287.7767232,401.7115437,4609.4013156,1031.1360832,1204.5532741,1450.7939187,10458.1806344
12,1619.5336352,1973.5312746,363.8158797,70.4209841,743.6285849,1178.5310842,907.4583056,1133.9467166,7990.8664649
13,2108.2737691,59.2700408,1161.1145467,379.7314132,545.9329487,123.617315,0,1147.6943034,5525.6343369
14,4813.4314509,104.0693402,929.4997984,305.1979208,509.9786269,28.2085352,424.544379,811.7408151,7926.6708665
15,1382.5472301,562.6982629,570.7408882,30.3576018,1197.8304614,93.9478209,382.0403484,372.8380537,4593.0006674
16,186.1959904,167.3428512,502.1093996,316.4823036,267.509562,79.0801056,0,0,1518.7202124
17,151.4124537,303.3610276,220.4983378,0,256.8738563,236.927111,216.7766754,0,1385.8494618
18,86.2536482,0,262.0488215,0,166.3229186,0,384.8446484,0,899.4700367
19,0,876.7143136,0,119.8683894,561.0296731,28.2085352,0,0,1585.8209113
20,0,0,276.044599,0,233.2850399,172.7164233,469.0950342,465.1359604,1616.2770568
21,2493.990042,0,0,0,2191.2619436,0,0,136.0845295,4821.3365151
22,0,89.5746256,0,0,0,0,207.8722483,0,297.4468739
23,1648.1174677,52.6974097,0,15.4713057,0,33.7157824,0,0,1750.0019655
24,0,0,0,23.698751,198.5174137,0,0,397.7178001,619.9339648
25,0,110.0396811,0,22.8026407,806.031426,0,0,0,938.8737478
26,0,0,0,0,124.3205389,0,0,0,124.3205389
27,0,0,0,0,0,60.0090466,0,0,60.0090466
28,0,0,0,0,0,367.6543989,0,0,367.6543989
29,0,94.5189828,0,32.9279196,62.8419572,0,0,164.5031928,354.7920524
30,0,0,0,0,59.0867647,0,0,0,59.0867647
31,124.6169839,0,0,0,0,0,0,0,124.6169839
32,0,0,0,0,64.6070876,266.3017682,0,0,330.9088558
33,0,0,0,14.8862961,0,28.4522533,102.2761681,0,145.6147175
34,0,0,0,0,0,0,0,0,0
35,0,0,0,19.0925003,0,0,0,0,19.0925003
36,0,0,0,0,0,0,0,0,0
37,0,0,0,146.4513804,0,0,0,0,146.4513804
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,27.2034239,75.3911936,0,102.5946175
40,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
