"distbin","PURPOSE","freq"
1,"work",76423.9227447213
10,"work",23511.7431135356
11,"work",13651.0607031982
12,"work",12099.3818928831
13,"work",10566.6253479385
14,"work",12504.0338867169
15,"work",10188.430231219
16,"work",4544.71085674184
17,"work",8241.6110138182
18,"work",4402.2113911084
19,"work",4491.3499144885
2,"work",371741.219164746
20,"work",4313.63398885504
21,"work",2712.227500708
22,"work",5896.415743639
23,"work",5566.6454449576
24,"work",1688.6470654699
25,"work",1073.543898136
26,"work",1031.185197154
27,"work",4309.726907719
28,"work",1139.022836014
29,"work",2238.907816741
3,"work",190408.618226614
30,"work",1712.659745827
31,"work",1384.987363263
32,"work",1580.057919339
33,"work",2411.451753226
34,"work",932.952299071
35,"work",549.730230726
36,"work",431.046070041
37,"work",976.231062997
38,"work",151.604742333
39,"work",903.11419389
4,"work",99415.0023349519
40,"work",534.95151398604
41,"work",82.215458256
42,"work",10385.434309383
5,"work",71932.3938509689
6,"work",54312.9207233443
7,"work",55143.367440171
8,"work",40518.6210727392
9,"work",27130.7894743974
1,"univ",8376.7935792066
10,"univ",4897.934470002
11,"univ",1704.671301128
12,"univ",2056.004019612
13,"univ",4062.8907636
14,"univ",521.51671658
15,"univ",749.612251924
16,"univ",750.31278436
17,"univ",249.8606739
18,"univ",366.9596484
19,"univ",97.0629589
2,"univ",48133.7256322532
20,"univ",722.011467006
21,"univ",0
22,"univ",321.130540366
23,"univ",282.598978139
24,"univ",507.5163905
25,"univ",281.2406527
26,"univ",248.5730417
27,"univ",584.6498643
28,"univ",730.1100256
29,"univ",315.771304
3,"univ",15217.385524254
30,"univ",186.1461078
31,"univ",805.3211334
32,"univ",265.6693489
33,"univ",342.3048326
34,"univ",106.0231016
35,"univ",0
36,"univ",316.0170988
37,"univ",0
38,"univ",0
39,"univ",72.936050975
4,"univ",16509.1970591546
40,"univ",0
41,"univ",28.077725
42,"univ",983.002435641
5,"univ",11284.5155210296
6,"univ",9673.896469376
7,"univ",3491.355845765
8,"univ",8396.169363952
