"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",0,0,0,0,0,0,0,0,0
"2",157.960801532,0,0,0,0,14.803239675,0,0,0
"3",323.547292493,0,0,0,0,0,0,0,0
"4",885.909807979,106.2412899,0,53.864753985,0,120.6932498,0,0,0
"5",1181.509992707,0,0,112.286580735,37.6229409,74.935475035,0,0,0
"6",4481.732076749,0,0,224.57316147,845.614632407,1350.112298272,207.7731817,0,31.451499765
"7",8396.86186796928,98.206149,558.745186716,244.944237121,714.751518029,816.328999851,26.492613936,175.923701517,0
"8",26379.8754586632,882.316937848,4970.1506912,2263.225766297,3293.249914656,1830.269772919,0,0,748.82419321
"9",51357.5462207435,1263.171868652,20554.011443189,5555.438319111,4924.967701585,4917.99974521768,0,366.195851076,1439.68244322
"10",75421.0110516181,3375.084397216,27854.101489444,13686.5488604128,11444.458309968,12316.3505949088,0,0,1247.614344355
"11",51053.0915151641,6667.1782159,14893.554539976,11470.1695476937,17963.1685341204,11711.0594309668,828.795835244,0,34.241331915
"12",35382.0018449757,3149.623161051,11171.493799724,13244.327021051,24313.1733508406,16119.1372615112,323.79130828,253.288200106,230.202834325
"13",25235.8793747266,1806.000969464,4796.8542322,7479.83161527338,45245.9874737431,19097.1447850289,1662.370493944,802.04588587,127.248964179
"14",17807.6584979469,2709.512461396,1494.528351924,7036.17005767104,38744.2506187518,16536.2723259142,4206.60865911,1357.997087885,1843.111088938
"15",12437.3464474206,2318.033544862,1373.674617736,2448.2857412125,49540.3391932543,18880.2593897408,3239.086520064,3051.035157536,2248.678292351
"16",10729.776282811,3663.542298933,2956.911153092,3787.44393318004,58682.1354874801,18895.8320187383,4593.71388748,2507.751673677,2379.80698770102
"17",6532.4204144224,5339.490267355,3381.871969776,6349.9067142205,53036.0338912738,29988.5192790998,6480.90256695168,2257.015370817,4023.95521508112
"18",12723.6071232341,2811.177760543,4569.709591852,8088.20564996804,69067.1309256035,34715.475146182,7219.65832252278,2684.160471995,4534.76846364612
"19",11683.6822537616,7655.878024339,3778.948249228,9507.6230275359,62435.8278340534,34234.8484210879,9004.37055490436,2614.139318029,5905.13567600912
"20",11593.4447720197,4886.0872712,1927.20778868,11063.2778524822,66044.0147563259,25903.63453382,7430.74350405,3111.690551896,9751.301791354
"21",14211.6235457112,8042.55849583,2393.195847868,6657.60013599396,67169.1061961722,26961.0470817716,7480.16301235784,1758.63075887,5769.6868306036
"22",13083.9434549631,4601.525334799,4281.109863052,6381.70757028956,63113.6900748456,26072.6814134402,11802.6992628154,2811.24331392792,10993.6211521693
"23",18059.0115769809,10197.024422616,7516.985280752,13822.9687081332,66557.3193631277,29036.9347545619,10691.3959017137,2988.73318608696,4952.82855184896
"24",26896.8508507958,8421.73685545,15981.334218709,24398.0040530164,57188.2072882082,34183.2441031428,15999.2007094145,2714.387587211,3148.89110256252
"25",23810.6488596873,8327.919321015,28384.730725964,28766.7826034119,63015.7273397239,42474.1826575946,9938.39418285352,1877.9107102071,435.955071816
"26",47495.3875968082,9581.8087851726,50398.713825468,37789.518705925,66181.7972111237,37197.2881191302,6748.533912038,2700.2744290113,2141.1109154432
"27",70752.6602663194,8680.26046163,29347.177072424,15930.2335554082,51202.4713088538,36797.7835214812,3387.11055049,2079.994139969,2385.1635604306
"28",82392.9700693556,8179.084644268,41318.6967840232,16617.6432798448,54136.1579984939,36276.7040381733,3716.541464236,2631.11046541532,2499.8320988622
"29",86173.7565964091,4630.2432078816,34402.2104714392,17589.7676901647,33655.4149876239,38375.2209032402,3122.701856685,1320.80843933832,2389.685159184
