"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",76423.9227447213,8376.7935792066,16868.166949168,16811.8915513915,57148.5976576222,42754.2661506907,5767.341556395,3949.654502652,1382.816025803
"2",371741.219164746,48133.7256322532,159254.435112292,125399.332072431,436091.383959199,288421.061609056,55566.385825505,26586.4879633261,24741.525809936
"3",190408.618226614,15217.385524254,62261.1057452699,47371.0767917554,204082.28904409,126598.446728411,27030.7006761344,11671.2787819051,18409.9551230342
"4",99415.0023349519,16509.1970591546,41882.9316421166,30768.8807732462,124763.732947007,76836.8786563581,12651.446414488,6798.874032662,7620.0837851032
"5",71932.3938509689,11284.5155210296,32196.8779116053,26510.329150941,64890.2893211533,62155.8067536191,7595.47604874274,2673.85284071,3344.41135879312
"6",54312.9207233443,9673.896469376,26759.313234592,25025.8946314484,60793.2264067385,52150.758341031,7693.119758736,5108.8300339081,2648.77679477
"7",55143.367440171,3491.355845765,32115.501924432,15078.9094019577,34918.9500009359,31106.7549381652,4488.21705800942,1981.024460506,2362.54094512772
"8",40518.6210727392,8396.169363952,15533.413853432,8105.18048003508,34763.96440689,22559.2497937521,2992.51820435142,1390.5324684751,2526.3377970662
"9",27130.7894743974,4047.494189783,8246.115362184,7571.031284553,25195.5172816589,14413.1394312163,1501.294555246,731.434164068,1443.6148164
"10",23511.7431135356,4897.934470002,10064.056456188,9556.339744809,18938.839939069,15355.206125505,3896.764626829,388.381585707,1034.73914156
"11",13651.0607031982,1704.671301128,11546.061833212,3543.496744976,14894.7275019098,18510.5991775033,1701.404223349,566.724799379,267.512424165
"12",12099.3818928831,2056.004019612,7126.364446284,5684.499765256,7704.83984701572,8714.273602849,89.029428096,204.143547336,0
"13",10566.6253479385,4062.8907636,4678.084280812,1615.165242677,9890.7364422065,5857.701969863,394.780914757,396.577214064,153.404180685
"14",12504.0338867169,521.51671658,7390.574399364,1367.332825052,6276.875980468,2623.49915716616,567.181404076,443.428470095,157.50057543312
"15",10188.430231219,749.612251924,2856.456132568,174.347457079,6748.242852567,2998.84123038726,1334.950076631,107.126829915,0
"16",4544.71085674184,750.31278436,4517.861170908,3069.406914019,9865.305045159,9320.96536118184,622.300832131,375.101952895,523.995323371
"17",8241.6110138182,249.8606739,4750.088760156,2038.65558831204,5430.858444516,2903.508360915,1394.049327271,319.565267264,0
"18",4402.2113911084,366.9596484,2498.1455812,2446.58984878968,3019.577600744,3607.89155308636,257.714854319,157.406688213,73.87144527
"19",4491.3499144885,97.0629589,2880.833703932,750.0062225895,4036.799176178,1733.815427019,377.083140488,290.09730968,0
"20",4313.63398885504,722.011467006,3093.1675137,258.479387156,4992.044161709,3659.575252448,119.839998262,445.3715693,0
"21",2712.227500708,0,4251.714334816,2131.461787859,1214.014648595,779.40037921536,38.560398743,0,0
"22",5896.415743639,321.130540366,702.63985716,563.4702812,2299.540164652,1954.041463905,48.351365699,0,0
"23",5566.6454449576,282.598978139,407.0269137,809.279392266,1483.169312272,672.291401877,145.122533183,71.459516664,146.10549597
"24",1688.6470654699,507.5163905,253.4983972,1387.258357281,1075.873526067,1434.742372114,285.49404605,51.8158451,0
"25",1073.543898136,281.2406527,162.006764992,276.183581,1459.818860482,2676.711659126,43.5200216,29.500685192,0
"26",1031.185197154,248.5730417,411.451967,352.620559109,1421.700763687,1124.980694788,139.761290395,0,0
"27",4309.726907719,584.6498643,573.308185752,156.466844035,1663.98596229,1695.143108638,0,0,0
"28",1139.022836014,730.1100256,934.954378312,41.22391336,2123.949218061,898.856910008,37.280941583,0,0
"29",2238.907816741,315.771304,0,972.46738711,5776.867365579,1871.743956121,244.810648031,0,0
"30",1712.659745827,186.1461078,520.964484324,131.7887889255,1939.27014527,918.991507828,0,0,0
"31",1384.987363263,805.3211334,185.449446692,349.764032624,57.570898202,249.217829637,0,19.12160229,0
"32",1580.057919339,265.6693489,1588.8328445,0,1123.7890083,356.274599938,161.55260793,101.08320537,0
"33",2411.451753226,342.3048326,0,265.681259905,2319.432781236,246.544207199,79.686157518,0,0
"34",932.952299071,106.0231016,400.477572,0,1140.081248725,865.856275712,175.923701517,0,91.233801435
"35",549.730230726,0,606.9065074,88.080249188,544.07837163,439.299192046,0,0,0
"36",431.046070041,316.0170988,195.191896,19.12160229,127.526933316,446.24532581976,38.579488994,27.151692464,0
"37",976.231062997,0,82.4760383,0,228.012995872,293.074467805,0,0,0
"38",151.604742333,0,882.0342205,0,249.731580305,433.81499784,0,181.2363127,0
"39",903.11419389,72.936050975,702.6103095,29.500685192,388.210126635,943.686570542,839.667633048,0,0
"40",534.95151398604,0,336.5364774,0,561.024216331,1095.067998107,0,0,0
"41",82.215458256,28.077725,34.171625,125.38057893072,335.159033786,260.967327959,30.78801138,0,0
"42",10385.434309383,983.002435641,2312.918807888,485.117849039,4685.37515098926,6169.225641938,709.2547538,233.5980443,28.9829716
