"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",5881.975898112,12221.144632238,2169.701245548,3924.9535868865,6463.167566836,14334.923699158,113.739919568,0,0
"2",25307.9566312872,28572.1764713166,0,886.513900942,4032.774828582,3838.023792149,685.7271048,406.46401454,0
"3",565.106367208,0,80600.442777672,1247.003235024,317.172623,10498.685803648,0,335.6678568,0
"4",362051.971115204,37103.9900235676,151015.720453144,147654.534136856,164392.371563011,177884.633405965,2720.796033531,3097.43578362964,9949.279376534
"5",217123.083541223,21855.7645603186,37252.972856948,58317.5776122168,351721.760574726,170701.068475792,56291.3826787322,19861.3854887218,9494.8426785744
"6",260856.734463169,20997.2927766612,64450.3447710139,59997.2257392633,368249.002938693,150363.393424846,38452.1020474352,12461.3367691728,23391.3005580822
"7",161251.69177346,24002.773329855,54294.6258044339,47743.6241603944,202352.237530884,133633.365196393,33583.8788319724,21109.9382710015,25599.4820426012
"8",54454.4212509206,7364.283341982,34485.091301004,21807.1639471971,76110.5515870252,100944.999121898,11582.2851897276,8972.936196591,1398.63015159
"9",94293.93697039,9491.024227504,54481.593896868,13574.2548452687,45729.303233933,92452.9281159977,2397.56809265242,7214.428489143,1735.89520579
"10",0,0,0,0,0,0,0,0,0
