"timebin","purpose","freq_stop","freq_trip"
1,"atwork",0,0
10,"atwork",1247.614344355,5622.4134856321
11,"atwork",34.241331915,4155.005443571
12,"atwork",230.202834325,8875.929611472
13,"atwork",127.248964179,6629.093467527
14,"atwork",1843.111088938,12595.922089507
15,"atwork",2248.678292351,10871.16705739
16,"atwork",2379.80698770102,13824.1228247397
17,"atwork",4023.95521508112,29162.1276327241
18,"atwork",4534.76846364612,67297.7060165427
19,"atwork",5905.13567600912,92127.0283759147
2,"atwork",0,0
20,"atwork",9751.301791354,71261.1818445632
21,"atwork",5769.6868306036,54085.5220616179
22,"atwork",10993.6211521693,48086.6845628989
23,"atwork",4952.82855184896,21506.1617802368
24,"atwork",3148.89110256252,15224.0958198199
25,"atwork",435.955071816,11196.352883316
26,"atwork",2141.1109154432,8157.9467755762
27,"atwork",2385.1635604306,14300.6940321722
28,"atwork",2499.8320988622,12685.2713762202
29,"atwork",2389.685159184,6472.491609245
3,"atwork",0,0
30,"atwork",121.26634716,2154.994435611
31,"atwork",754.35502639,2847.676978735
32,"atwork",169.383584576,1145.800853949
33,"atwork",378.396896876,876.888559891
34,"atwork",0,1062.14183376
35,"atwork",0,365.74265684
36,"atwork",71.4641302,381.647465515
37,"atwork",699.0461888,2814.318454125
38,"atwork",0,322.6927646922
39,"atwork",0,0
4,"atwork",0,0
40,"atwork",0,112.7202702
41,"atwork",0,112.7202702
42,"atwork",112.7202702,112.7202702
43,"atwork",0,0
44,"atwork",0,0
45,"atwork",0,0
46,"atwork",0,0
47,"atwork",0,0
48,"atwork",0,0
49,"atwork",0,0
5,"atwork",0,51.912734475
6,"atwork",31.451499765,0
7,"atwork",0,915.37298429
8,"atwork",748.82419321,2503.453511278
9,"atwork",1439.68244322,2734.958738231
1,"esco",0,36.892601655
10,"esco",13686.5488604128,113741.664396733
11,"esco",11470.1695476937,89580.5683747264
12,"esco",13244.327021051,75533.5994212984
13,"esco",7479.83161527338,36480.5771062024
14,"esco",7036.17005767104,23060.9557407625
15,"esco",2448.2857412125,10842.9012728185
16,"esco",3787.44393318004,13680.4585521182
17,"esco",6349.9067142205,17923.1909834337
18,"esco",8088.20564996804,27443.0012094862
19,"esco",9507.6230275359,26629.6040726549
2,"esco",0,59.005050825
20,"esco",11063.2778524822,22023.3542507562
21,"esco",6657.60013599396,14608.3649046352
22,"esco",6381.70757028956,21601.3640856926
23,"esco",13822.9687081332,46718.4085575562
24,"esco",24398.0040530164,88876.4399689837
25,"esco",28766.7826034119,129627.297672332
26,"esco",37789.518705925,120177.605702971
27,"esco",15930.2335554082,73628.3401765382
28,"esco",16617.6432798448,67863.2916420932
29,"esco",17589.7676901647,61463.9486474939
3,"esco",0,750.244222699
30,"esco",9990.15371126364,58781.4773538837
31,"esco",14449.4525277568,39932.4295904555
32,"esco",14377.5844966558,42943.5269172438
33,"esco",5224.644352735,31947.846002264
34,"esco",9718.6069371229,30355.1256620329
35,"esco",9606.3461061125,24673.8338953205
36,"esco",9876.432041736,20449.9579524667
37,"esco",2360.916284872,12882.855414787
38,"esco",1506.507668717,7492.251076108
39,"esco",3738.993655263,7315.89042038
4,"esco",53.864753985,641.713800709
40,"esco",216.8541089705,2126.2428553025
41,"esco",192.633672566,3144.872486547
42,"esco",887.2561872,1929.503055449
43,"esco",1539.650655728,2875.238633528
44,"esco",437.506200316,727.56461954
45,"esco",0,290.058419224
46,"esco",82.44574073,82.44574073
47,"esco",0,10.4339702
48,"esco",376.517674696,376.517674696
49,"esco",0,0
5,"esco",112.286580735,2159.16040056
6,"esco",224.57316147,4787.745093851
7,"esco",244.944237121,9836.675450915
8,"esco",2263.225766297,32863.806821401
9,"esco",5555.438319111,71869.0837066294
1,"idisc",0,149.587078095
10,"idisc",12316.3505949088,50237.5806847878
11,"idisc",11711.0594309668,58435.7726306721
12,"idisc",16119.1372615112,62921.16578284
13,"idisc",19097.1447850289,76226.6212247482
14,"idisc",16536.2723259142,59104.7573241419
15,"idisc",18880.2593897408,66440.8244310584
16,"idisc",18895.8320187383,59478.6413158516
17,"idisc",29988.5192790998,83601.1318327239
18,"idisc",34715.475146182,89443.2565932133
19,"idisc",34234.8484210879,78873.1206253597
2,"idisc",14.803239675,14.803239675
20,"idisc",25903.63453382,69247.7035519622
21,"idisc",26961.0470817716,62720.2384706573
22,"idisc",26072.6814134402,66170.6061951047
23,"idisc",29036.9347545619,75676.8259867903
24,"idisc",34183.2441031428,85569.8324708841
25,"idisc",42474.1826575946,103479.050098385
26,"idisc",37197.2881191302,95601.1657285828
27,"idisc",36797.7835214812,111121.375212644
28,"idisc",36276.7040381733,100453.960000376
