"purpose","nstops","freq_out","freq_inb"
"work","1",1189497.34537407,994674.457333261
"univ","1",161703.012631378,154724.221889353
"sch","1",693617.122086712,596157.65810234
"esco","1",476123.680049022,465209.216130166
"imain","1",779422.356702671,728423.76007756
"idisc","1",782410.070028043,788178.929955136
"jmain","1",104161.13112494,87659.46398999
"jdisc","1",128905.660101063,120317.670692677
"atwork","1",222133.305195105,207420.15155447
"Total","1",4537973.68329301,4142765.52972495
"work","2",236679.18762067,322819.950415013
"univ","2",29712.489192198,34838.980308971
"sch","2",84393.736968592,123138.054149544
"esco","2",57846.928794395,66160.542571912
"imain","2",199948.625729353,226327.337993743
"idisc","2",151159.219275011,149742.352365659
"jmain","2",22383.020439652,33425.732704521
"jdisc","2",14795.334948962,21239.882235364
"atwork","2",12544.124572755,21845.863070192
"Total","2",809462.667541588,999538.695814919
"work","3",49699.842298257,104066.017310465
"univ","3",10446.75908828,13114.610613859
"sch","3",13816.499339992,47050.921432772
"esco","3",23969.448713534,22170.152284752
"imain","3",70731.101668618,86479.162179118
"idisc","3",56025.133779754,55403.311837481
"jmain","3",10051.466118759,12474.575822271
"jdisc","3",2601.668177267,5229.712082626
"atwork","3",2685.202985693,9318.46337046
"Total","3",240027.122170154,355306.926933804
"work","4",18412.612006875,72728.562241136
"univ","4",7553.977324341,6738.425424014
"sch","4",9398.088258448,34878.812969088
"esco","4",16335.015980197,20735.162550318
"imain","4",55752.746261505,64624.570111726
"idisc","4",44376.648206385,40646.477130917
"jmain","4",3438.444802051,6474.28996862
"jdisc","4",2322.10099612,1837.499212745
"atwork","4",1658.499608684,436.654367115
"Total","4",159248.133444606,249100.453975679
