"purpose","nstops","freq"
"work","1",838886.902666971
"univ","1",124433.73582758
"sch","1",528983.407217836
"esco","1",395653.307212557
"imain","1",540916.358815141
"idisc","1",629894.133305677
"jmain","1",63045.693392935
"jdisc","1",107442.04438842
"atwork","1",193925.589328239
"Total","1",3423181.17215536
"work","2",358040.659170023
"univ","2",43729.828476491
"sch","2",146382.57052732
"esco","2",87826.633559123
"imain","2",267175.292009067
"idisc","2",189260.194298356
"jmain","2",41815.706003178
"jdisc","2",26992.484382881
"atwork","2",29863.14884842
"Total","2",1191086.51727486
"work","3",158952.681845305
"univ","3",22802.574729022
"sch","3",73209.3999045
"esco","3",47044.254794646
"imain","3",140273.450165492
"idisc","3",106289.783553448
"jmain","3",21823.296905318
"jdisc","3",8308.045898478
"atwork","3",11537.726388699
"Total","3",590241.214184908
"work","4",101846.187581839
"univ","4",11356.328565789
"sch","4",43962.5086059
"esco","4",32720.23460412
"imain","4",102511.009529936
"idisc","4",74371.056672746
"jmain","4",9873.720841634
"jdisc","4",4567.54350846
"atwork","4",3034.490530684
"Total","4",384243.080441108
"work","5",24717.705318398
"univ","5",4920.023154304
"sch","5",6705.540253088
"esco","5",8688.267320292
"imain","5",36035.676862928
"idisc","5",19291.192874796
"jmain","5",2051.187689959
"jdisc","5",511.152322774
"atwork","5",660.177266195
"Total","5",103580.923062734
"work","6",10970.131186616
"univ","6",1575.123996672
"sch","6",1305.8416907
"esco","6",1385.963565979
"imain","6",11227.745720808
"idisc","6",12478.127540648
"jmain","6",1235.917674574
"jdisc","6",0
"atwork","6",0
"Total","6",40178.851375997
"work","7",874.719530723
"univ","7",598.623486339
"sch","7",676.1784544
"esco","7",956.412480431
"imain","7",7715.297258775
"idisc","7",2386.583043522
"jmain","7",188.539977804
"jdisc","7",803.493722399
"atwork","7",0
"Total","7",14199.847954393
