"purpose","stop_purp","freq"
"work","1",5881.975898112
"univ","1",12221.144632238
"sch","1",2169.701245548
"esco","1",3924.9535868865
"imain","1",6463.167566836
"idisc","1",14334.923699158
"jmain","1",113.739919568
"jdisc","1",0
"atwork","1",0
"Total","1",45109.6065483465
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",25307.9566312872
"univ","2",28572.1764713166
"sch","2",0
"esco","2",886.513900942
"imain","2",4032.774828582
"idisc","2",3838.023792149
"jmain","2",685.7271048
"jdisc","2",406.46401454
"atwork","2",0
"Total","2",63729.6367436168
"work","3",565.106367208
"univ","3",0
"sch","3",80600.442777672
"esco","3",1247.003235024
"imain","3",317.172623
"idisc","3",10498.685803648
"jmain","3",0
"jdisc","3",335.6678568
"atwork","3",0
"Total","3",93564.078663352
"work","4",362051.971115204
"univ","4",37103.9900235676
"sch","4",151015.720453144
"esco","4",147654.534136856
"imain","4",164392.371563011
"idisc","4",177884.633405965
"jmain","4",2720.796033531
"jdisc","4",3097.43578362964
"atwork","4",9949.279376534
"Total","4",1055870.73189144
"work","5",217123.083541223
"univ","5",21855.7645603186
"sch","5",37252.972856948
"esco","5",58317.5776122168
"imain","5",351721.760574726
"idisc","5",170701.068475792
"jmain","5",56291.3826787322
"jdisc","5",19861.3854887218
"atwork","5",9494.8426785744
"Total","5",942619.838467253
"work","6",260856.734463169
"univ","6",20997.2927766612
"sch","6",64450.3447710139
"esco","6",59997.2257392633
"imain","6",368249.002938693
"idisc","6",150363.393424846
"jmain","6",38452.1020474352
"jdisc","6",12461.3367691728
"atwork","6",23391.3005580822
"Total","6",999218.733488337
"work","7",161251.69177346
"univ","7",24002.773329855
"sch","7",54294.6258044339
"esco","7",47743.6241603944
"imain","7",202352.237530884
"idisc","7",133633.365196393
"jmain","7",33583.8788319724
"jdisc","7",21109.9382710015
"atwork","7",25599.4820426012
"Total","7",703571.616940996
"work","8",54454.4212509206
"univ","8",7364.283341982
"sch","8",34485.091301004
"esco","8",21807.1639471971
"imain","8",76110.5515870252
"idisc","8",100944.999121898
"jmain","8",11582.2851897276
"jdisc","8",8972.936196591
"atwork","8",1398.63015159
"Total","8",317120.362087935
"work","9",94293.93697039
"univ","9",9491.024227504
"sch","9",54481.593896868
"esco","9",13574.2548452687
"imain","9",45729.303233933
"idisc","9",92452.9281159977
"jmain","9",2397.56809265242
"jdisc","9",7214.428489143
"atwork","9",1735.89520579
"Total","9",321370.933077547
