"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",103995.628902622,3843.793414372,1097.679533244,50475.396451029,32480.197739919,1021.5046494,0,13696.881911445
"2",50252.593367002,6924.454577188,26009.847768368,77006.904044112,28939.302305588,15399.29902755,8669.151098856,5466.663523824
"3",47338.733498243,14248.064706152,107723.960160028,95664.324701195,65362.953386259,7681.951767817,16346.310459587,5396.518081999
"4",2964.148597481,3654.6913408,14417.57148534,19834.582709929,13532.388534002,2134.737361943,1921.392567564,3091.187968346
"5",2849.722864855,181.142961,5715.896037916,5976.478637717,6073.457679873,164.767898488,86.390714552,0
"6",4039.197366634,2325.725624988,752.573647232,2086.609974373,3493.229257724,691.545118456,0,0
"7",1079.177367884,0,0,0,0,0,0,0
"8",0,0,0,873.53369716,167.3695511,0,0,0
"9",67.707470556,2536.03472298,86343.249797696,0,780.767856128,60.9597749,0,0
"10",0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0
