"id","purpose","freq_as0","freq_as1","freq_as2","freq_all"
"1","work",4427.133856077,103995.628902622,843489.694110028,951912.456868727
"10","work",0,0,0,0
"2","work",6936.340895049,50252.593367002,270969.486223544,328158.420485595
"3","work",495.038574765,47338.733498243,91282.794605832,139116.56667884
"4","work",3085.046448818,2964.148597481,11093.6425135,17142.837559799
"5","work",2997.934099274,2849.722864855,12584.723875946,18432.380840075
"6","work",15446.562212073,4039.197366634,11461.173172495,30946.932751202
"7","work",0,1079.177367884,3599.300138208,4678.477506092
"8","work",2607.923548264,0,550.89911952,3158.822667784
"9","work",0,67.707470556,674.384471205,742.091941761
"1","univ",1239.5066992,3843.793414372,65120.04392961,70203.344043182
"10","univ",0,0,0,0
"2","univ",485.669804306,6924.454577188,38161.385870457,45571.510251951
"3","univ",1472.691864629,14248.064706152,24678.553444154,40399.310014935
"4","univ",4839.779093824,3654.6913408,15393.569335316,23888.03976994
"5","univ",1165.531148555,181.142961,4724.312823149,6070.986932704
"6","univ",5818.0618526,2325.725624988,7319.424529509,15463.212007097
"7","univ",0,0,454.3754077,454.3754077
"8","univ",106.2412899,0,0,106.2412899
"9","univ",1018.8139781,2536.03472298,3704.369817708,7259.218518788
"1","sch",172.2431535,1097.679533244,27042.241324864,28312.164011608
"10","sch",0,0,0,0
"2","sch",1144.267540792,26009.847768368,112714.825883052,139868.941192212
"3","sch",8916.14025392,107723.960160028,199891.009367572,316531.10978152
"4","sch",5116.244155488,14417.57148534,18327.842347132,37861.65798796
"5","sch",0,5715.896037916,3941.785754872,9657.681792788
"6","sch",8016.959165312,752.573647232,1646.665979264,10416.198791808
"7","sch",0,0,0,0
"8","sch",0,0,327.4838338,327.4838338
"9","sch",12345.319749856,86343.249797696,159561.639714496,258250.209262048
"1","imain",16282.997733274,50475.396451029,579836.529638696,646594.923822999
"10","imain",0,0,0,0
"2","imain",32580.708965934,77006.904044112,360253.950436766,469841.563446812
"3","imain",22534.243024847,95664.324701195,261397.899985684,379596.467711726
"4","imain",35883.518775638,19834.582709929,34891.094170892,90609.195656459
"5","imain",1469.162628052,5976.478637717,10705.319533402,18150.960799171
"6","imain",36766.182265344,2086.609974373,5920.670300526,44773.462540243
"7","imain",0,0,0,0
"8","imain",1454.757308762,873.53369716,1322.29674024,3650.587746162
"9","imain",0,0,3567.608818708,3567.608818708
"1","idisc",7795.594978644,32480.197739919,407205.047193788,447480.839912351
"10","idisc",0,0,0,0
"2","idisc",10832.889483779,28939.302305588,188247.339781227,228019.531570594
"3","idisc",14514.606917232,65362.953386259,113508.154467255,193385.714770746
"4","idisc",24568.070735544,13532.388534002,78409.473102127,116509.932371673
"5","idisc",1441.20469618,6073.457679873,19014.980679822,26529.643055875
"6","idisc",8680.061555799,3493.229257724,3118.747161575,15292.037975098
"7","idisc",0,0,64.42591,64.42591
"8","idisc",2222.7159612,167.3695511,0,2390.0855123
"9","idisc",0,780.767856128,3518.092354428,4298.860210556
"1","jmain",151.5406957,1021.5046494,0,1173.0453451
"10","jmain",0,0,0,0
"2","jmain",1852.546268756,15399.29902755,91192.454731093,108444.300027399
"3","jmain",2667.6356719,7681.951767817,18006.822827806,28356.410267523
"4","jmain",753.113710315,2134.737361943,2706.110584491,5593.961656749
"5","jmain",0,164.767898488,55.80182244,220.569720928
"6","jmain",1186.883631153,691.545118456,197.6917032,2076.120452809
"7","jmain",0,0,0,0
"8","jmain",0,0,0,0
"9","jmain",0,60.9597749,0,60.9597749
"1","jdisc",151.5406957,0,0,151.5406957
"10","jdisc",0,0,0,0
"2","jdisc",210.7670932,8669.151098856,76278.340594044,85158.2587861
"3","jdisc",0,16346.310459587,31295.486461418,47641.796921005
"4","jdisc",735.350368953,1921.392567564,10385.1697818,13041.912718317
"5","jdisc",223.4093647,86.390714552,1127.701326415,1437.501405667
"6","jdisc",268.2426809,0,155.628016839,423.870697739
"7","jdisc",0,0,0,0
"8","jdisc",0,0,0,0
"9","jdisc",0,0,769.882998884,769.882998884
"1","atwork",973.981519052,13696.881911445,122295.017003467,136965.880433964
"10","atwork",0,0,0,0
"2","atwork",2377.3060836,5466.663523824,34109.078231706,41953.04783913
"3","atwork",2269.0352529,5396.518081999,19828.192160354,27493.745495253
"4","atwork",1906.745881607,3091.187968346,23764.23939514,28762.173245093
"5","atwork",1100.964000404,0,240.54541492,1341.509415324
"6","atwork",349.5116378,0,1795.343684868,2144.855322668
"7","atwork",0,0,0,0
"8","atwork",0,0,0,0
"9","atwork",0,0,359.920610805,359.920610805
"1","Total",31194.539331147,206611.082602031,2044988.57320045,2282794.19513363
"10","Total",0,0,0,0
"2","Total",56420.496135416,218668.215712488,1171926.86175189,1447015.57359979
"3","Total",52869.391560193,359762.81676128,759888.913320075,1172521.12164155
"4","Total",76887.869170187,61550.700565405,194971.141230398,333409.71096599
"5","Total",8398.205937165,21047.856794401,52395.171230966,81841.233962532
"6","Total",76532.465000981,13388.880989407,31615.344548276,121536.690538664
"7","Total",0,1079.177367884,4118.101455908,5197.278823792
"8","Total",6391.638108126,1040.90324826,2200.67969356,9633.221049946
"9","Total",13364.133727956,89788.71962226,172155.898786234,275308.75213645
