"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0
"3",0,0,0,59.005050825,142.9342832,0,0,0,0
"4",0,0,0,0,98.3372584,0,0,0,0
"5",0,0,0,238.5534824,0,186.181796738,0,0,20.46123471
"6",0,0,0,748.295418941,256.166520868,629.784133047,0,0,0
"7",126.946105885,0,0,2057.827926826,1362.325175191,1862.113184025,0,323.665767776,218.756049905
"8",128.35698526,0,0,5029.891229162,1245.577487406,3134.866493312,0,948.59567507,676.133887898
"9",215.7461153,0,69.2104672,16277.745332251,1363.276365159,2038.807492761,0,0,846.137622735
"10",892.047990994,2221.385399328,149.5772138,36735.93622989,1686.344978348,5215.118843392,576.369393075,299.444963746,1080.658188988
"11",480.468321095,2185.6605871,282.6485333,47772.579280392,5481.119084268,6383.391191237,441.0288712,179.43280306,2284.533637918
"12",1547.122179337,5060.465117056,353.0078472,33170.809884586,6758.903894579,6321.138955416,182.060069,72.24651999,4183.659864623
"13",1259.80282027,1715.022824828,210.4882064,24024.214506403,16991.634870062,8204.092566471,1380.460066866,1480.16579738,1885.598016351
"14",812.432444955,2782.056804725,1158.6918631,16882.782776706,22277.609266647,9917.633562261,1232.20946478,1130.584976538,2238.819497544
"15",1545.357774502,4495.57787026,511.2944192,2832.788623229,29151.273067866,12859.455943842,3898.13293242,1107.046670603,5154.893540362
"16",2448.467864394,882.392979708,1160.066566784,2172.439291877,41276.968643184,12090.856765882,3183.534349818,1867.058359364,3059.226533584
"17",7737.437549115,4977.142364248,2165.2743653,3135.674577375,43292.636899016,21429.910462393,5795.851963504,2373.379333442,4762.566415373
"18",5115.584860771,3272.686992538,4372.08216002,6757.498300389,49273.047554044,22616.08206914,2699.90826383,2012.424985806,12312.277182538
"19",15440.766286635,7679.263994382,9146.62596264,9507.503820046,48204.410534343,22452.380467199,7926.40296829,3400.111137919,35316.30037584
"20",10335.664249078,3884.346607954,4529.99322396,6400.909377328,47332.018023679,21662.71095476,4357.867194707,1335.038383854,40652.064355074
"21",15070.29970465,5245.082890777,2890.953096372,5018.359725465,47783.409314621,20327.576785059,4899.567216484,4338.299649853,33435.90318005
"22",14544.002352517,7876.226122761,5171.474682788,2920.503295214,48863.274018549,18849.941946248,7239.350696212,2328.875952958,23056.95067533
"23",12345.842241651,7734.86875393,13723.02078388,3356.431516882,54698.450292456,21528.149756858,5955.347631702,1808.997724678,17431.720391615
"24",37632.838536692,9609.510445715,68955.884095604,15965.97692065,54091.909709474,22432.813914042,6336.190831255,2700.637569059,10260.879691718
"25",40865.203236001,11692.312147465,108471.453131728,32711.239983965,57989.691335201,27979.040735002,11901.806914745,3331.882534026,7926.560323635
"26",59022.221765298,10768.402523274,119106.774554612,45074.653316922,48399.977234539,31139.433172042,7051.418149944,2000.578633421,6892.287960485
"27",94232.867412878,11856.573625433,128715.370366492,53786.856134492,57976.078751199,32294.807628947,5584.93172386,1491.870690182,4040.957293588
"28",117822.396757292,8600.460921843,70052.015076864,31210.375805133,51621.948749814,22767.445691723,6447.391133782,2646.460283473,4711.390784637
"29",177515.634478276,7116.963352776,62396.727704448,21589.945224406,54599.387123041,29089.304611064,5697.095976414,3508.615761983,9073.855008961
"30",177380.63084376,6239.157211844,39659.200601716,24705.754146265,42694.387128913,34804.608539178,8114.930854285,2310.668643882,1266.817077258
"31",149114.009029602,7212.061375608,38604.026120904,18930.649144998,43043.351659142,38991.116773777,6154.866281581,7303.455971117,1748.828507516
"32",110214.573481889,7897.764530165,21880.42451144,17125.217991152,36877.842376628,38684.391287776,5191.211810754,10226.571845781,1293.49993889
"33",78568.814948581,3470.030685773,17355.139885172,12035.105458356,33954.584905022,41351.258867852,5861.679089917,8798.311724917,648.076942565
"34",55634.314398793,4592.609253037,13842.7613012,13926.646395142,37142.488502148,58242.63255834,3609.49526656,16005.550289538,151.465623291
"35",52983.802530587,8195.605688902,20606.955849732,16397.332503892,27402.793278444,76549.283877544,8432.386391965,17380.220809322,261.942063915
"36",33950.697616207,4707.156175682,4060.922097656,6019.880827398,20321.062900412,60953.830371015,1924.102393981,10928.291481694,391.814333295
"37",34496.959401154,4733.155307097,6257.943365544,11138.309092409,22191.786221078,62105.620513481,3603.672176582,11299.183457678,698.058285435
"38",23351.501380524,6656.43741057,4053.401200236,5014.800838412,9110.78569631,31989.809361051,1259.569068795,8205.087417722,699.0461888
"39",20831.671166462,7012.26061051,1680.45042948,4420.075763969,8167.922713795,28150.177220081,978.475933404,7605.58375484,226.27141761
"40",24775.114018354,5314.295768035,1080.675078884,2839.493265872,2887.428975493,19626.09200647,623.030479599,3419.370314567,0
"41",21056.987369379,1332.482567908,86.2536482,784.357401362,3537.020931509,16607.827743559,172.44841828,1205.251222337,0
"42",19605.833226312,1928.65158,0,1787.594624216,1913.146287914,7837.137709744,152.953392,381.973823485,112.7202702
"43",15510.432901973,184.8736952,0,676.526008135,1109.261212144,4075.146556117,0,0,0
"44",6830.741847197,320.436591,0,1440.230105716,1232.556572178,8499.755937093,0,0,0
"45",2651.765470711,403.5069033,0,159.30653655,545.778801185,1693.338986244,0,0,0
"46",3579.516258138,0,0,290.058419224,769.1478131,2898.900256826,0,0,0
"47",2547.670254496,0,0,72.01177053,480.280099518,3464.64954171,0,0,0
"48",5017.320752771,0,40.6612433,96.582948148,476.014099485,3153.352706505,0,0,0
