"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",2431.055702024,0,0,36.892601655,173.1717063,149.587078095,0,0,0
"2",3898.202496838,139.831384935,0,59.005050825,0,0,0,0,0
"3",10585.993579305,41.635068009,86.2536482,691.239171874,457.425753205,854.746885911,0,0,0
"4",13651.097251798,196.2154683,0,291.428028037,1098.806811313,1085.413146552,0,161.8333301,0
"5",47412.116960898,1205.2693911,0,1265.313210196,1998.088119862,5828.17548514,203.5561257,1193.654264943,20.46123471
"6",75165.903967024,1600.391654585,1874.6960448,3237.810694145,3935.119275828,5334.656644995,126.451141982,125.555959095,0
"7",114490.225218828,3102.534937005,20885.874876584,7711.781707699,12247.662290467,8641.251129899,83.118135514,353.156867683,893.02852309
"8",196916.093103055,12475.804843239,124936.192990908,20984.235823526,16515.138429936,13948.925490694,241.26841273,512.291296892,1717.947632768
"9",215841.014230462,20316.197719928,207045.409466356,39073.787402268,27605.344199321,30272.7493883,1170.06576446,286.103207769,1204.139941466
"10",202424.612513174,15046.658393487,181669.42814316,51221.971520354,26581.459710266,31115.535872715,2661.517437448,772.107685764,3708.261809704
"11",149432.406007865,21759.136025139,138393.733966908,38157.70834467,60263.846862779,40946.007506857,2028.888712845,2218.775124023,2604.856354223
"12",95027.149405998,18614.235351953,80022.74438206,30541.481104056,57548.978051402,39578.025243205,3983.653258955,3795.353128937,5903.22909657
"13",51982.75275286,19282.827005223,10251.9301441,10910.494116632,70732.135255508,47050.935950432,7851.989135015,4547.242716563,4322.354474407
"14",50776.71028599,12467.348669587,3636.139835052,7869.363619629,53997.899491881,30424.48439804,7879.060911009,4202.882118529,5886.74396014
"15",25189.251003087,8137.850018902,1534.5420895,5089.832408342,74392.051457791,27514.291704946,9263.712142644,5586.073639742,5845.672378018
"16",13978.201243076,2850.389832553,1470.96060734,6644.946967098,48434.815868891,22599.134055551,7430.4597932,2008.118731081,8028.978166247
"17",11793.46719139,3252.598363,1225.224365756,6020.551823626,57436.824616721,26285.521022614,5877.182726063,3409.052508474,20928.721940028
"18",12253.510200884,5111.422166279,2011.742454156,8872.430270688,41754.497369284,26251.481878343,5665.424204407,3344.482626929,41719.007016837
"19",12866.629506301,5997.699936816,1980.159567648,9189.494163207,50788.137034358,23141.287900287,5007.301658436,2116.596877043,47487.751213437
"20",22967.399597606,4647.8843746,2072.585894276,4703.570975881,35106.741704421,20592.127356895,4363.809543767,2854.622418081,19881.416470862
"21",13978.205069643,5709.037336453,102.7979443,4333.717582221,58664.280251569,16704.533632812,8947.928918672,1197.995131071,18315.591870264
"22",20340.109213959,3805.686156478,1028.380355216,11071.862942137,35545.117987449,20438.761005349,9092.930662447,1049.176370256,13951.008695677
"23",17095.28110079,4279.408092917,0,23664.839742495,44520.242335604,16598.781353951,3750.44923617,1393.240746414,4534.91326251
"24",16166.318834484,3634.170078771,1106.722149608,40354.828591434,38663.5438895,28412.335258826,4625.540771757,1411.712622231,5299.0676897
"25",15330.972876665,3364.407811509,944.341441752,51641.798465865,40782.344218796,21361.588627432,5403.524342203,3461.885392973,5384.826791734
"26",15357.103042774,3551.447613261,1004.558564044,32125.797131487,28298.999471574,38490.02399225,3903.726541239,2179.311332995,3723.918806982
"27",10783.674207996,4778.286168174,3017.98874908,26588.018734509,32660.023697646,45977.92177417,6641.428957197,5615.056993381,8229.511153546
"28",10194.829921479,5503.98295231,3469.477257548,24191.961287598,27254.847253953,40856.783854051,4055.870446297,7613.536413239,2644.21053495
"29",5343.694252144,5824.687437671,3896.049810096,21427.475182383,31651.267763231,47488.892808907,8229.650544258,12963.636122523,2079.410770732
"30",7755.185434829,2488.094460344,4003.098863204,25201.80662996,26492.991881361,85324.587932099,3256.56473192,16149.31861251,1338.279353405
"31",3775.060987088,2943.845763485,532.7116026,8754.926174495,21312.436257361,73664.848782699,2943.598528891,17921.812033036,975.90928617
"32",7410.364205768,3513.904575697,1999.58225082,14946.385230921,21705.978087213,66813.336284252,4244.008205168,17408.433817323,0
"33",2320.261435225,2021.983914129,614.476586084,11912.458925778,22840.775965433,42905.673154418,5957.103298108,9087.746954243,342.5437958
"34",1282.920820813,550.33961501,371.249354172,6403.524151878,11830.305929293,31023.128766338,3175.230155295,3558.306649662,994.241681265
"35",1611.911008147,644.5256796,36.393248416,4848.687921707,7468.024616802,20663.840769104,811.204820586,3531.789859682,118.829573755
"36",2588.547098133,0,0,6491.437896475,3253.01294927,14314.222249914,359.633866275,6368.13709034,124.53242424
"37",4768.781608566,497.945302048,0,1993.75416348,7511.108695794,7797.69324407,360.796093999,206.444168055,699.0461888
"38",3474.472851343,0,0,2492.484089232,845.560772825,6314.521391114,275.308543205,0,0
"39",1907.129000141,58.5546737,0,932.001091678,1517.000303231,3377.33693127,106.39045284,19.32141183,0
"40",2134.130763023,0,0,1145.259565536,393.13890303,802.829206031,55.7142647,0,112.7202702
"41",458.033294003,0,0,762.480468777,1058.52804267,1232.90766526,0,0,0
"42",968.399282235,0,0,126.17014347,69.30979755,1349.79944834,0,0,0
"43",0,0,0,0,447.847281458,115.5920772,0,0,0
"44",0,0,0,290.058419224,0,0,0,0,0
"45",90.609015316,0,0,0,0,326.792939865,0,0,0
"46",69.199756848,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0
