,work,univ,sch,esc,imain,idisc,jmain,jdisc,atwork
1,3211.909845,0,0,36.89260166,173.1717063,149.5870781,0,0,0
2,5150.303618,139.8313849,0,59.00505083,0,0,0,0,0
3,13986.21059,41.63506801,86.2536482,691.2391719,457.4257532,854.7468859,0,0,0
4,18035.82436,196.2154683,0,291.428028,1098.806811,1085.413147,0,161.8333301,0
5,62640.87043,1205.269391,0,1265.31321,1998.08812,5828.175485,203.5561257,1193.654265,20.46123471
6,99309.16299,1600.391655,1874.696045,3237.810694,3935.119276,5334.656645,126.451142,125.5559591,0
7,151264.4409,3102.534937,20885.87488,7711.781708,12247.66229,8641.25113,83.11813551,353.1568677,893.0285231
8,177224.4838,12475.80484,124936.193,20984.23582,16515.13843,13948.92549,241.2684127,512.2912969,1717.947633
9,194256.9128,20316.19772,207045.4095,39073.7874,27605.3442,30272.74939,1170.065764,286.1032078,1204.139941
10,182182.1513,15046.65839,181669.4281,51221.97152,26581.45971,31115.53587,2661.517437,772.1076858,3708.26181
11,134489.1654,21759.13603,138393.734,38157.70834,60263.84686,40946.00751,2028.888713,2218.775124,2604.856354
12,85524.43447,18614.23535,80022.74438,30541.4811,57548.97805,39578.02524,3983.653259,3795.353129,5903.229097
13,51982.75275,19282.82701,10251.93014,10910.49412,70732.13526,47050.93595,7851.989135,4547.242717,4322.354474
14,50776.71029,12467.34867,3636.139835,7869.36362,53997.89949,30424.4844,7879.060911,4202.882119,5886.74396
15,25189.251,8137.850019,1534.54209,5089.832408,74392.05146,27514.2917,9263.712143,5586.07364,5845.672378
16,13978.20124,2850.389833,1470.960607,6644.946967,48434.81587,22599.13406,7430.459793,2008.118731,8028.978166
17,11793.46719,3252.598363,1225.224366,6020.551824,57436.82462,26285.52102,5877.182726,3409.052508,20928.72194
18,12253.5102,5111.422166,2011.742454,8872.430271,41754.49737,26251.48188,5665.424204,3344.482627,41719.00702
19,12866.62951,5997.699937,1980.159568,9189.494163,50788.13703,23141.2879,5007.301658,2116.596877,47487.75121
20,22967.3996,4647.884375,2072.585894,4703.570976,35106.7417,20592.12736,4363.809544,2854.622418,19881.41647
21,13978.20507,5709.037336,102.7979443,4333.717582,58664.28025,16704.53363,8947.928919,1197.995131,18315.59187
22,20340.10921,3805.686156,1028.380355,11071.86294,35545.11799,20438.76101,9092.930662,1049.17637,13951.0087
23,17095.2811,4279.408093,0,23664.83974,44520.24234,16598.78135,3750.449236,1393.240746,4534.913263
24,16166.31883,3634.170079,1106.72215,40354.82859,38663.54389,28412.33526,4625.540772,1411.712622,5299.06769
25,15330.97288,3364.407812,944.3414418,51641.79847,40782.34422,21361.58863,5403.524342,3461.885393,5384.826792
26,15357.10304,3551.447613,1004.558564,32125.79713,28298.99947,38490.02399,3903.726541,2179.311333,3723.918807
27,10783.67421,4778.286168,3017.988749,26588.01873,32660.0237,45977.92177,6641.428957,5615.056993,8229.511154
28,10194.82992,5503.982952,3469.477258,24191.96129,27254.84725,40856.78385,4055.870446,7613.536413,2644.210535
29,5343.694252,5824.687438,3896.04981,21427.47518,31651.26776,47488.89281,8229.650544,12963.63612,2079.410771
30,7755.185435,2488.09446,4003.098863,25201.80663,26492.99188,85324.58793,3256.564732,16149.31861,1338.279353
31,3775.060987,2943.845763,532.7116026,8754.926174,21312.43626,73664.84878,2943.598529,17921.81203,975.9092862
32,7410.364206,3513.904576,1999.582251,14946.38523,21705.97809,66813.33628,4244.008205,17408.43382,0
33,2320.261435,2021.983914,614.4765861,11912.45893,22840.77597,42905.67315,5957.103298,9087.746954,342.5437958
34,1282.920821,550.339615,371.2493542,6403.524152,11830.30593,31023.12877,3175.230155,3558.30665,994.2416813
35,1611.911008,644.5256796,36.39324842,4848.687922,7468.024617,20663.84077,811.2048206,3531.78986,118.8295738
36,2588.547098,0,0,6491.437896,3253.012949,14314.22225,359.6338663,6368.13709,124.5324242
37,4768.781609,497.945302,0,1993.754163,7511.108696,7797.693244,360.796094,206.4441681,699.0461888
38,3474.472851,0,0,2492.484089,845.5607728,6314.521391,275.3085432,0,0
39,1907.129,58.5546737,0,932.0010917,1517.000303,3377.336931,106.3904528,19.32141183,0
40,2134.130763,0,0,1145.259566,393.138903,802.829206,55.7142647,0,112.7202702
41,458.033294,0,0,762.4804688,1058.528043,1232.907665,0,0,0
42,968.3992822,0,0,126.1701435,69.30979755,1349.799448,0,0,0
43,0,0,0,0,447.8472815,115.5920772,0,0,0
44,0,0,0,290.0584192,0,0,0,0,0
45,90.60901532,0,0,0,0,326.7929399,0,0,0
46,69.19975685,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0
