"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",71.0769881,5237.068478608,184.4270744,81690.074103217,43072.934017746,25645.439818266,1751.615365968,2559.349337601,42793.55633791
"2",1457.853091946,6491.412264368,1485.667103972,234080.90337189,162607.617142677,72265.768779166,22101.73710622,11810.00824287,81956.244310935
"3",4592.348350835,7036.800250766,1892.519068548,108645.11544941,179575.570455,80078.264721681,22067.537476966,20986.097959761,57056.350989568
"4",6302.29015249,7556.038239245,7124.80841428,47143.76585814,148266.912346585,106247.220542152,27070.613634357,27347.779693192,27170.282430901
"5",6915.888341804,5985.013207888,6184.0051221,27540.514090404,104331.623945144,125259.747533828,16082.48569582,23800.524360707,14267.980039449
"6",8950.282316563,16183.062534623,5105.892206052,13190.477322948,87711.771268787,109987.823205092,11240.523182788,14539.261296094,4415.577937319
"7",11838.921289878,13401.383490563,4208.016746932,9847.06857752,57922.928363898,74800.826654117,9330.03881323,12515.894755972,2183.405207408
"8",14103.053487778,9862.428668475,8377.11609566,4211.256712975,49043.840526518,59948.739349689,10092.844399058,8159.910489988,3713.274558961
"9",20282.006661103,9944.945938619,4613.471114316,2520.464052491,37758.278144649,46566.3949744,3891.000892516,5400.208377802,1168.57209468
"10",31974.946216144,9605.8863613,5564.37560768,5016.051741208,30161.486685212,39463.397186439,4053.414809723,8379.344646979,786.108023086
"11",21678.350302961,6654.508021534,3870.87642596,5023.219746362,31347.083203965,32740.213553267,3038.04709413,1928.511683368,366.287030576
"12",26874.158141081,7237.915797692,3660.035674,2500.343010324,23024.551049794,22285.137006402,1718.612717476,1101.494268701,411.8687929
"13",27036.818276387,7003.439649235,2280.454260952,1123.035176184,16506.271202637,14622.150663999,1109.233107934,1735.003245204,388.27578062
"14",27761.592849368,5210.011516366,10381.384965588,2012.099712543,8869.075296493,13761.189053572,1554.175906056,2060.677434424,256.44410169
"15",22265.728341653,8374.432246688,25722.016132128,675.774183577,12710.690717209,13523.132851196,225.3593147,1033.264937302,351.322950622
"16",28013.053728635,10024.650246275,127509.062035228,2061.635522973,8065.538111325,13290.977843918,844.79248658,767.478772614,741.069108255
"17",50552.591971764,11441.475591125,172344.943998692,2400.242306665,9881.663446221,6619.08700553,509.64885013,18.0505115,143.73751922
"18",64140.585931044,8494.489537792,100452.743031616,616.089616615,12404.392281299,8973.287778031,1034.44612149,0,224.413003241
"19",109890.49060106,2509.57509377,53096.629595036,3633.534823968,10509.949119947,6298.971234604,129.809778988,389.241335277,0
"20",162557.960864347,3171.042870111,54256.333752384,941.8615286,11849.551711603,6167.580570257,133.75476378,504.37065934,550.67795076
"21",174131.260158192,4415.488519645,41323.92160268,1994.955835762,6221.53408505,7679.826554489,151.5406957,128.834420345,0
"22",147039.183229993,3201.748809903,38219.069218328,2914.289430281,7220.413681391,7685.527905132,363.255309742,0,75.684194136
"23",111928.756507915,1318.460887136,20528.3690566,464.551873849,6110.632689525,9057.820220328,0,71.838719925,0
"24",103912.68509055,3120.772653289,21140.659881848,276.842393137,6043.916974564,4674.763858287,58.253555937,132.811557395,0
"25",80038.955596664,1297.727225767,14367.726436864,422.997888023,3432.635949339,2954.052062079,33.8593099,0,0
"26",57421.875479783,2876.268763496,18358.870409796,1111.622892535,1904.652592677,2520.485758335,161.57085168,39.9310275,0
"27",38728.530470029,1570.6963995,5357.878267548,66.744397,2316.713586207,3846.752574511,15.87495315,345.0471972,0
"28",26100.515834017,3248.752575224,4420.015802244,112.529719561,680.925595929,387.388391903,0,0,0
"29",32028.167000185,1316.62352012,5264.622818544,585.763990684,2111.618548257,3053.9458567,0,0,0
"30",12461.962027114,785.4384634,1617.418139592,0,2134.93715302,1286.05711089,101.701175572,0,0
"31",6484.246657409,2708.598431809,1672.717454796,66.9572299,1055.212062269,178.3499807,0,0,0
"32",4919.409984296,109.6733654,1631.418038392,92.78178336,322.793453635,59.410586025,0,0,0
"33",4716.204708494,101.4857927,543.3228591,243.154160865,529.78356847,618.607282095,0,0,0
"34",3191.75187497,265.6693489,0,0,78.44680221,446.380550823,0,0,0
"35",2484.782684641,352.9212994,0,0,118.425403528,0,0,0,0
"36",1471.870605896,98.206149,0,0,0,0,0,0,0
"37",466.991532603,403.5069033,0,72.01177053,0,0,0,0,0
"38",15.0748598,1133.0272778,0,0,171.979426792,97.250919321,0,0,0
"39",120.173612604,106.2412899,0,0,0,0,0,0,0
"40",222.9672482,0,0,0,0,0,0,0,0
"41",0,0,40.6612433,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",54.60741363,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",39.89444781,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0
