id,purpose,freq_dep,freq_arr,freq_dur
1,atwork,0,0,42793.55634
1,esc,36.89260166,0,81690.0741
1,idisc,149.5870781,0,25645.43982
1,imain,173.1717063,0,43072.93402
1,jdisc,0,0,2559.349338
1,jmain,0,0,1751.615366
1,sch,0,0,184.4270744
1,Total,3571.561231,0,203005.5415
1,univ,0,0,5237.068479
1,work,3211.909845,0,71.0769881
2,atwork,0,0,81956.24431
2,esc,59.00505083,0,234080.9034
2,idisc,0,0,72265.76878
2,imain,0,0,162607.6171
2,jdisc,0,0,11810.00824
2,jmain,0,0,22101.73711
2,sch,0,0,1485.667104
2,Total,5349.140053,0,594257.2114
2,univ,139.8313849,0,6491.412264
2,work,5150.303618,0,1457.853092
3,atwork,0,0,57056.35099
3,esc,691.2391719,59.00505083,108645.1154
3,idisc,854.7468859,0,80078.26472
3,imain,457.4257532,142.9342832,179575.5705
3,jdisc,0,0,20986.09796
3,jmain,0,0,22067.53748
3,sch,86.2536482,0,1892.519069
3,Total,16117.51111,201.939334,481930.6047
3,univ,41.63506801,0,7036.800251
3,work,13986.21059,0,4592.348351
4,atwork,0,0,27170.28243
4,esc,291.428028,0,47143.76586
4,idisc,1085.413147,0,106247.2205
4,imain,1098.806811,98.3372584,148266.9123
4,jdisc,161.8333301,0,27347.77969
4,jmain,0,0,27070.61363
4,sch,0,0,7124.808414
4,Total,20869.52115,98.3372584,404229.7113
4,univ,196.2154683,0,7556.038239
4,work,18035.82436,0,6302.290152
5,atwork,20.46123471,20.46123471,14267.98004
5,esc,1265.31321,238.5534824,27540.51409
5,idisc,5828.175485,186.1817967,125259.7475
5,imain,1998.08812,0,104331.6239
5,jdisc,1193.654265,0,23800.52436
5,jmain,203.5561257,0,16082.4857
5,sch,0,0,6184.005122
5,Total,74355.38826,445.1965138,330367.7823
5,univ,1205.269391,0,5985.013208
5,work,62640.87043,0,6915.888342
6,atwork,0,0,4415.577937
6,esc,3237.810694,748.2954189,13190.47732
6,idisc,5334.656645,629.784133,109987.8232
6,imain,3935.119276,256.1665209,87711.77127
6,jdisc,125.5559591,0,14539.2613
6,jmain,126.451142,0,11240.52318
6,sch,1874.696045,0,5105.892206
6,Total,115543.8444,1634.246073,271324.6713
6,univ,1600.391655,0,16183.06253
6,work,99309.16299,0,8950.282317
7,atwork,893.0285231,218.7560499,2183.405207
7,esc,7711.781708,2057.827927,9847.068578
7,idisc,8641.25113,1862.113184,74800.82665
7,imain,12247.66229,1362.325175,57922.92836
7,jdisc,353.1568677,323.6657678,12515.89476
7,jmain,83.11813551,0,9330.038813
7,sch,20885.87488,0,4208.016747
7,Total,205182.8493,5951.63421,196048.4839
7,univ,3102.534937,0,13401.38349
7,work,151264.4409,126.9461059,11838.92129
8,atwork,1717.947633,676.1338879,3713.274559
8,esc,20984.23582,5029.891229,4211.256713
8,idisc,13948.92549,3134.866493,59948.73935
8,imain,16515.13843,1245.577487,49043.84053
8,jdisc,512.2912969,948.5956751,8159.91049
8,jmain,241.2684127,0,10092.8444
8,sch,124936.193,0,8377.116096
8,Total,368556.2887,11163.42176,167512.4643
8,univ,12475.80484,0,9862.428668
8,work,177224.4838,128.3569853,14103.05349
9,atwork,1204.139941,846.1376227,1168.572095
