"distbin","PURPOSE","freq"
1,"esco",100205.259293329
10,"esco",12599.187452264
11,"esco",6577.881176433
12,"esco",3873.115997854
13,"esco",4934.697263747
14,"esco",14622.325062551
15,"esco",2877.261806569
16,"esco",3760.749798723
17,"esco",2224.277004022
18,"esco",1440.432321708
19,"esco",3588.35191851
2,"esco",104321.437062219
20,"esco",3184.044322382
21,"esco",396.959921012
22,"esco",1865.898280768
23,"esco",711.78832544
24,"esco",756.45514554
25,"esco",1096.89375638
26,"esco",503.56427524
27,"esco",1786.692147448
28,"esco",390.559203668
29,"esco",1043.87203768
3,"esco",80301.892136053
30,"esco",491.311297532
31,"esco",196.168995081
32,"esco",2389.4303131
33,"esco",338.970517365
34,"esco",0
35,"esco",209.213513806
36,"esco",45.99165795
37,"esco",160.548261905
38,"esco",1984.766943868
39,"esco",34.767298965
4,"esco",61233.743852873
40,"esco",0
41,"esco",4698.949747151
5,"esco",42915.524672152
6,"esco",31172.199370846
7,"esco",32299.470950508
8,"esco",16903.680145454
9,"esco",18497.288748648
1,"imain",122468.194884344
10,"imain",30563.171123726
11,"imain",23652.640435332
12,"imain",21651.471987967
13,"imain",16579.010431928
14,"imain",17071.704825983
15,"imain",11153.475968487
16,"imain",10698.418930735
17,"imain",6831.938137419
18,"imain",10457.103569653
19,"imain",10919.353723366
2,"imain",174784.071173896
20,"imain",4208.401295105
21,"imain",8325.393596421
22,"imain",5012.805467447
23,"imain",4835.651460009
24,"imain",3739.837384828
25,"imain",4781.051898814
26,"imain",4058.128953031
27,"imain",1036.28815665
28,"imain",3096.81946219
29,"imain",2160.521709516
3,"imain",151019.356990708
30,"imain",2410.402314731
31,"imain",3559.596112884
32,"imain",1628.159378718
33,"imain",1059.3892478
34,"imain",1039.71522522
35,"imain",835.01402588
36,"imain",1170.835206649
37,"imain",707.958606739
38,"imain",1934.084048804
39,"imain",427.577860358
4,"imain",116631.952724728
40,"imain",986.400038938
41,"imain",11879.65943194
5,"imain",78655.742075737
6,"imain",71580.727518371
7,"imain",51492.144155885
8,"imain",49195.063070182
9,"imain",29879.589717474
1,"idisc",206293.687541538
10,"idisc",22300.506033371
11,"idisc",17776.400722973
12,"idisc",17668.058194193
13,"idisc",20719.230912953
14,"idisc",13943.089108849
15,"idisc",9654.960260913
16,"idisc",10869.986226803
