"HH_ID","PER_ID","TOUR_ID","TOURMODE_RECODE","TOURPURP_RECODE","AUTOSUFF","finalweight"
1,1,1,"02_HOV2","Indi-Main",2,229.621654011
2,1,1,"04_Walk","Work",2,721.279722345
2,2,1,"01_SOV","Work",2,639.13207911
3,1,1,"01_SOV","Work",2,78.75848652
3,1,2,"01_SOV","Indi-Disc",2,78.75848652
3,1,3,"01_SOV","At-Work",2,78.75848652
3,2,1,"01_SOV","Work",2,71.447954445
3,2,2,"02_HOV2","At-Work",2,71.447954445
4,1,1,"01_SOV","University",2,120.12785547
4,1,2,"01_SOV","Indi-Main",2,120.12785547
4,1,3,"01_SOV","Indi-Disc",2,120.12785547
5,1,1,"04_Walk","Other",2,664.8174147
5,1,2,"04_Walk","Other",2,664.8174147
5,1,3,"01_SOV","Work",2,664.8174147
5,1,4,"01_SOV","Indi-Main",2,664.8174147
5,1,5,"04_Walk","Indi-Disc",2,664.8174147
5,1,6,"01_SOV","At-Work",2,664.8174147
6,1,1,"01_SOV","Work",2,85.1903101
6,2,1,"02_HOV2","Work",2,100.998789288
6,2,2,"01_SOV","At-Work",2,100.998789288
6,3,1,"02_HOV2","Other",2,94.2956727
6,3,2,"02_HOV2","Other",2,94.2956727
7,1,1,"01_SOV","Indi-Disc",2,150.94571681
8,1,1,"06_Walk-Local","Indi-Main",0,263.2785989
10,1,1,"02_HOV2","Indi-Main",2,78.704905656
10,1,2,"03_HOV3","Indi-Main",2,78.704905656
10,2,1,"02_HOV2","Work",2,66.056276328
10,3,1,"03_HOV3","School",2,55.1583368
10,4,1,"03_HOV3","School",2,67.8103622
10,5,1,"02_HOV2","School",2,67.8103622
10,6,1,"03_HOV3","School",2,67.8103622
10,7,1,"03_HOV3","School",2,67.8103622
11,2,1,"04_Walk","Indi-Disc",2,197.286308497
11,2,2,"01_SOV","Indi-Main",2,197.286308497
12,1,1,"04_Walk","Indi-Main",2,148.7449387
12,1,2,"04_Walk","Indi-Main",2,148.7449387
12,1,3,"03_HOV3","Joint-Disc",2,148.7449387
12,2,1,"01_SOV","Work",2,126.588267372
12,2,2,"03_HOV3","Joint-Disc",2,126.588267372
12,3,1,"04_Walk","School",2,120.7916825
12,3,2,"03_HOV3","Joint-Disc",2,120.7916825
13,1,1,"02_HOV2","Indi-Disc",2,156.35657142
13,1,2,"02_HOV2","Work",2,156.35657142
14,1,1,"01_SOV","Work",2,614.4816702
14,1,2,"01_SOV","Indi-Main",2,614.4816702
15,1,1,"01_SOV","Indi-Main",2,452.134075905
15,2,1,"06_Walk-Local","Indi-Disc",2,435.765514404
16,2,1,"02_HOV2","Work",2,672.413014836
16,3,1,"15_Schoolbus","School",2,703.4241529
16,4,1,"15_Schoolbus","School",2,703.4241529
17,1,1,"01_SOV","Work",2,77.97111924
18,1,1,"02_HOV2","Indi-Main",0,588.1754422
19,1,1,"01_SOV","Work",2,146.79485856
19,1,2,"02_HOV2","Work",2,146.79485856
19,2,1,"01_SOV","Work",2,120.229848375
19,2,2,"02_HOV2","Work",2,120.229848375
20,1,1,"01_SOV","Work",2,132.576652005
21,1,1,"01_SOV","Work",2,516.59059263
22,1,1,"01_SOV","Work",2,33.660529665
23,1,1,"01_SOV","Work",2,77.154085785
23,2,1,"01_SOV","Work",2,78.21784677
23,2,2,"01_SOV","At-Work",2,78.21784677
24,1,1,"02_HOV2","Other",2,49.7593634
24,1,2,"02_HOV2","Indi-Main",2,49.7593634
24,1,3,"02_HOV2","Indi-Main",2,49.7593634
24,2,1,"01_SOV","Indi-Disc",2,63.8311852
24,3,1,"02_HOV2","Other",2,52.8924078
24,3,2,"02_HOV2","School",2,52.8924078
25,1,1,"01_SOV","Indi-Disc",2,175.241233545
26,1,1,"01_SOV","Work",2,135.59826861
27,1,1,"02_HOV2","Work",2,103.245333448
27,1,2,"04_Walk","Indi-Disc",2,103.245333448
27,1,3,"01_SOV","At-Work",2,103.245333448
27,2,1,"03_HOV3","Indi-Main",2,126.9293052
27,2,2,"03_HOV3","Indi-Main",2,126.9293052
27,2,3,"03_HOV3","Indi-Disc",2,126.9293052
27,3,1,"03_HOV3","School",2,114.5239593
27,3,2,"04_Walk","Indi-Disc",2,114.5239593
27,4,1,"03_HOV3","School",2,132.9124385
27,4,2,"03_HOV3","Indi-Main",2,132.9124385
27,4,3,"04_Walk","Indi-Disc",2,132.9124385
27,5,1,"03_HOV3","Indi-Main",2,132.9124385
27,5,2,"03_HOV3","Indi-Main",2,132.9124385
27,5,3,"03_HOV3","Indi-Main",2,132.9124385
28,1,1,"01_SOV","Work",2,110.190206805
28,2,1,"01_SOV","Work",2,94.084348785
28,3,1,"01_SOV","Work",2,124.2841687
29,1,1,"01_SOV","Indi-Main",2,102.545196471
29,1,2,"01_SOV","Indi-Main",2,102.545196471
29,2,1,"01_SOV","Work",2,87.686622135
30,1,1,"02_HOV2","Joint-Main",2,48.188402524
30,2,1,"02_HOV2","Joint-Main",2,49.29594978
31,2,1,"03_HOV3","Indi-Disc",2,110.4319955
32,1,1,"01_SOV","Work",2,191.68482354
32,1,2,"02_HOV2","Joint-Disc",2,191.68482354
32,1,3,"02_HOV2","At-Work",2,191.68482354
32,2,1,"01_SOV","Work",2,160.87924335
32,2,2,"02_HOV2","Joint-Disc",2,160.87924335
32,2,3,"01_SOV","At-Work",2,160.87924335
33,1,1,"02_HOV2","Work",2,181.50729032
33,2,1,"03_HOV3","Work",2,168.7367552
33,2,2,"03_HOV3","Indi-Disc",2,168.7367552
33,3,1,"03_HOV3","School",2,217.1168877
33,3,2,"03_HOV3","Indi-Disc",2,217.1168877
33,4,1,"03_HOV3","School",2,251.9781465
33,4,2,"03_HOV3","Indi-Disc",2,251.9781465
34,1,1,"02_HOV2","University",2,45.6245645
34,1,2,"01_SOV","University",2,45.6245645
34,2,1,"02_HOV2","Indi-Disc",2,66.0272267
34,3,1,"02_HOV2","School",2,49.4119868
36,1,1,"04_Walk","Indi-Main",2,539.0288032
36,1,2,"02_HOV2","Joint-Main",2,539.0288032
36,2,1,"02_HOV2","Joint-Main",2,354.5491194
36,3,1,"01_SOV","Work",2,438.096004736
36,3,2,"01_SOV","At-Work",2,438.096004736
36,4,1,"01_SOV","Indi-Main",2,624.4487487
36,4,2,"04_Walk","Indi-Main",2,624.4487487
36,5,1,"04_Walk","Indi-Main",2,396.801989612
36,5,2,"04_Walk","Indi-Main",2,396.801989612
36,5,3,"01_SOV","Work",2,396.801989612
36,6,1,"04_Walk","Indi-Disc",2,438.6282875
36,7,1,"15_Schoolbus","School",2,474.1600856
37,1,2,"06_Walk-Local","Indi-Disc",0,65.076234466
38,1,1,"02_HOV2","Indi-Disc",2,190.073061964
38,1,2,"01_SOV","Indi-Main",2,190.073061964
38,1,3,"03_HOV3","Indi-Main",2,190.073061964
38,2,1,"03_HOV3","Work",2,198.728650668
38,3,1,"15_Schoolbus","School",2,227.3631632
38,4,1,"15_Schoolbus","School",2,263.8696098
38,5,1,"03_HOV3","School",2,263.8696098
39,1,1,"02_HOV2","Joint-Disc",2,366.195851076
39,1,2,"01_SOV","Indi-Main",2,366.195851076
39,1,3,"01_SOV","Indi-Main",2,366.195851076
39,1,4,"01_SOV","Indi-Main",2,366.195851076
39,1,5,"01_SOV","Indi-Disc",2,366.195851076
39,2,1,"02_HOV2","Joint-Disc",2,210.269030265
39,2,2,"01_SOV","Indi-Disc",2,210.269030265
39,2,3,"02_HOV2","Joint-Main",2,210.269030265
39,3,1,"02_HOV2","Joint-Main",2,345.298647391
40,1,1,"01_SOV","Work",2,78.75848652
40,2,1,"01_SOV","Work",2,71.447954445
40,2,2,"02_HOV2","At-Work",2,71.447954445
41,1,1,"02_HOV2","Indi-Main",2,274.4453036
41,1,2,"01_SOV","Indi-Main",2,274.4453036
42,1,1,"01_SOV","Work",2,78.75848652
42,2,1,"01_SOV","Work",2,71.447954445
43,1,1,"02_HOV2","Joint-Main",2,45.4232338
43,2,1,"01_SOV","Indi-Main",2,48.170682
43,3,1,"02_HOV2","Joint-Main",2,40.4359426
44,1,1,"01_SOV","Indi-Main",2,29.6033115
44,1,2,"02_HOV2","Joint-Disc",2,29.6033115
44,2,1,"02_HOV2","Joint-Disc",2,24.246092115
46,2,1,"03_HOV3","Indi-Main",2,152.5806854
46,3,1,"15_Schoolbus","School",2,169.873217584
46,4,1,"15_Schoolbus","School",2,127.4020758
46,5,1,"15_Schoolbus","School",2,127.4020758
47,1,1,"02_HOV2","Joint-Main",2,66.099148781
47,2,1,"02_HOV2","Joint-Main",2,42.747844322
48,1,1,"01_SOV","Work",2,99.281229
49,1,1,"02_HOV2","Indi-Main",2,195.614314665
50,2,2,"01_SOV","Indi-Main",2,37.347658468
51,1,1,"04_Walk","Indi-Main",2,166.802408752
51,1,2,"04_Walk","Indi-Main",2,166.802408752
51,1,3,"01_SOV","Indi-Main",2,166.802408752
52,1,1,"04_Walk","Other",2,69.830219871
52,1,2,"01_SOV","Indi-Disc",2,69.830219871
52,1,3,"02_HOV2","Joint-Main",2,69.830219871
52,2,1,"01_SOV","Work",2,55.901679225
52,2,2,"02_HOV2","Joint-Main",2,55.901679225
52,3,1,"01_SOV","Work",2,85.26428274
52,3,2,"01_SOV","At-Work",2,85.26428274
53,1,1,"01_SOV","Work",2,51.367675905
54,1,1,"04_Walk","Indi-Main",2,58.1536978
54,1,2,"02_HOV2","Indi-Main",2,58.1536978
54,1,3,"03_HOV3","Indi-Main",2,58.1536978
55,1,1,"01_SOV","Indi-Main",2,92.5661564
56,1,1,"02_HOV2","Indi-Main",2,34.670797281
56,1,2,"02_HOV2","Indi-Main",2,34.670797281
56,1,3,"02_HOV2","Indi-Main",2,34.670797281
58,1,1,"03_HOV3","Indi-Disc",2,327.577756068
58,2,1,"04_Walk","Other",2,296.7009604
58,2,2,"01_SOV","Indi-Disc",2,296.7009604
58,3,1,"03_HOV3","School",2,327.9757602
58,4,1,"03_HOV3","School",2,327.9757602
59,1,1,"01_SOV","Work",2,125.451034065
59,2,1,"01_SOV","Work",2,120.229848375
60,1,1,"04_Walk","Indi-Disc",0,79.985005
61,1,1,"02_HOV2","Work",2,30.8986971
61,1,2,"04_Walk","Indi-Disc",2,30.8986971
61,1,3,"01_SOV","At-Work",2,30.8986971
61,2,1,"04_Walk","Other",2,36.8152608
62,1,1,"01_SOV","Indi-Main",2,68.483859828
63,1,1,"02_HOV2","Indi-Main",2,421.9251718
64,1,1,"03_HOV3","Work",2,28.347860412
64,1,2,"03_HOV3","Joint-Disc",2,28.347860412
64,2,1,"01_SOV","Work",2,29.0752347
64,3,1,"03_HOV3","School",2,27.764105
64,3,2,"03_HOV3","Joint-Disc",2,27.764105
64,4,1,"03_HOV3","Indi-Disc",2,27.764105
64,4,2,"03_HOV3","Other",2,27.764105
64,4,3,"03_HOV3","Joint-Disc",2,27.764105
64,5,1,"03_HOV3","Indi-Disc",2,26.7142732
64,5,2,"03_HOV3","Joint-Disc",2,26.7142732
65,1,1,"02_HOV2","Indi-Main",2,91.6209565
66,1,1,"02_HOV2","Indi-Disc",2,33.979682999
66,1,2,"02_HOV2","Indi-Main",2,33.979682999
66,1,3,"03_HOV3","Indi-Main",2,33.979682999
66,1,4,"01_SOV","Other",2,33.979682999
67,1,1,"01_SOV","Indi-Main",2,440.068148249
67,2,1,"01_SOV","Work",2,376.30323759
68,1,1,"01_SOV","Work",2,491.9910406
69,1,1,"02_HOV2","Work",2,77.470050525
70,1,1,"02_HOV2","Indi-Main",2,182.960956138
71,1,1,"02_HOV2","Work",2,23.46168426
71,1,2,"01_SOV","Indi-Main",2,23.46168426
71,2,1,"02_HOV2","Indi-Main",2,19.215895965
72,1,1,"02_HOV2","Indi-Main",2,116.2735177
72,2,1,"01_SOV","Indi-Main",2,97.1379076
72,3,1,"01_SOV","School",2,168.424234272
72,4,1,"15_Schoolbus","School",2,194.7660663
73,1,1,"02_HOV2","Joint-Disc",2,30.332203682
73,1,2,"02_HOV2","Joint-Main",2,30.332203682
73,2,1,"02_HOV2","Joint-Disc",2,19.982916154
73,2,2,"02_HOV2","Joint-Main",2,19.982916154
74,2,1,"02_HOV2","Joint-Main",2,29.761834935
75,1,2,"02_HOV2","Indi-Disc",2,376.30323759
75,2,1,"01_SOV","Indi-Main",2,440.068148249
76,1,1,"01_SOV","Work",2,58.336945065
76,1,2,"01_SOV","At-Work",2,58.336945065
77,1,1,"01_SOV","Work",2,139.64635272
77,1,2,"01_SOV","Work",2,139.64635272
77,1,3,"04_Walk","At-Work",2,139.64635272
77,1,4,"01_SOV","At-Work",2,139.64635272
77,1,5,"04_Walk","At-Work",2,139.64635272
78,1,1,"01_SOV","Work",2,170.17242585
79,1,1,"03_HOV3","Indi-Main",2,49.2577015
79,2,1,"01_SOV","Work",2,41.3415189
79,2,2,"02_HOV2","Indi-Main",2,41.3415189
80,2,1,"01_SOV","Indi-Main",2,49.750937
80,2,2,"01_SOV","Indi-Main",2,49.750937
81,1,1,"01_SOV","Work",2,19.215895965
81,2,1,"02_HOV2","Work",2,23.46168426
82,1,1,"01_SOV","Indi-Main",2,82.03451949
83,2,1,"15_Schoolbus","School",2,29.4623163
84,1,1,"02_HOV2","Indi-Disc",2,104.4734159
85,1,1,"01_SOV","Work",2,23.70429537
85,1,2,"01_SOV","Indi-Main",2,23.70429537
85,2,1,"02_HOV2","Indi-Main",2,30.5474156
86,1,1,"02_HOV2","Joint-Main",2,127.948923297
86,2,2,"01_SOV","Indi-Main",2,103.531406126
86,2,3,"02_HOV2","Joint-Main",2,103.531406126
87,1,1,"03_HOV3","Work",1,240.156816544
87,2,1,"03_HOV3","Work",1,233.6415268
87,2,2,"01_SOV","University",1,233.6415268
87,3,1,"03_HOV3","School",1,240.4486049
88,1,1,"01_SOV","Work",2,251.35048071
90,1,1,"01_SOV","Indi-Main",2,615.8082771
90,1,2,"01_SOV","Indi-Disc",2,615.8082771
90,2,1,"01_SOV","Indi-Main",2,376.30323759
90,2,2,"01_SOV","Indi-Disc",2,376.30323759
91,1,1,"01_SOV","Indi-Main",2,64.2774064
91,1,2,"01_SOV","Indi-Main",2,64.2774064
91,1,3,"01_SOV","Indi-Main",2,64.2774064
92,2,1,"01_SOV","Indi-Main",2,54.49615446
92,2,2,"01_SOV","Indi-Main",2,54.49615446
92,2,3,"01_SOV","Work",2,54.49615446
93,1,1,"01_SOV","Work",2,43.408594845
93,2,1,"01_SOV","Other",2,32.440535295
94,1,1,"01_SOV","Indi-Main",2,190.149032
94,1,2,"01_SOV","Indi-Main",2,190.149032
94,2,1,"01_SOV","Work",2,142.530523485
95,1,1,"01_SOV","Work",2,489.1795269
95,1,2,"01_SOV","Indi-Main",2,489.1795269
95,2,1,"02_HOV2","Work",2,410.5637092
95,2,2,"02_HOV2","Work",2,410.5637092
95,2,3,"02_HOV2","At-Work",2,410.5637092
95,3,1,"02_HOV2","School",2,488.9005473
96,1,1,"01_SOV","Indi-Disc",2,23.46168426
96,2,1,"01_SOV","Work",2,19.215895965
96,2,2,"01_SOV","At-Work",2,19.215895965
98,1,1,"01_SOV","Work",2,152.09868206
98,2,1,"01_SOV","Work",2,150.03014338
98,3,1,"04_Walk","School",2,142.0041532
98,4,1,"04_Walk","School",2,142.0041532
99,1,1,"01_SOV","Indi-Disc",2,28.3044246
99,2,1,"01_SOV","Indi-Main",2,23.9933129
99,3,1,"15_Schoolbus","School",2,27.5789472
100,1,2,"01_SOV","Indi-Disc",2,167.4732809
101,1,1,"01_SOV","Indi-Main",2,1068.2734869
102,1,1,"01_SOV","Work",2,43.92544566
102,1,2,"03_HOV3","Indi-Main",2,43.92544566
102,1,3,"01_SOV","At-Work",2,43.92544566
102,2,1,"03_HOV3","Indi-Main",2,37.060059
102,2,2,"01_SOV","Indi-Main",2,37.060059
102,2,3,"03_HOV3","Indi-Main",2,37.060059
102,2,4,"03_HOV3","Indi-Main",2,37.060059
102,3,1,"03_HOV3","School",2,37.6297222
