"","PERTYPE","TOURPURP","freq"
"1",1,4,142657.85009565
"2",1,5,107375.056629858
"3",1,6,173154.342587028
"4",1,7,51948.136649588
"5",1,8,51457.729424361
"6",1,9,150091.343308779
"7",2,4,77003.844877412
"8",2,5,58432.562326212
"9",2,6,64048.103780405
"10",2,7,22009.07322654
"11",2,8,16876.388458749
"12",2,9,56014.033874275
"13",3,4,42511.539551621
"14",3,5,21223.796837129
"15",3,6,28591.106585863
"16",3,7,9753.561147726
"17",3,8,21092.031950334
"18",3,9,28721.741907196
"19",4,4,173591.302028752
"20",4,5,170106.298114694
"21",4,6,167994.738428991
"22",4,7,43526.916307899
"23",4,8,54240.632818728
"24",4,9,153525.531406281
"25",5,4,29029.859184246
"26",5,5,141971.079445915
"27",5,6,130941.84356516
"28",5,7,34760.479609198
"29",5,8,38203.974178194
"30",5,9,139484.527014149
"31",6,4,2484.030174492
"32",6,5,3917.007840104
"33",6,6,5735.236441688
"34",6,7,3469.026387088
"35",6,8,5733.902663344
"36",6,9,28141.027596064
"37",7,4,17638.0078938
"38",7,5,3120.9113967
"39",7,6,6830.622646
"40",7,7,1338.5254744
"41",7,8,15293.0603707
"42",7,9,65725.9630652
"43",8,4,74082.8357342
"44",8,5,11126.4998714
"45",8,6,10390.3426222
"46",8,7,3112.5844999
"47",8,8,18721.3493177
"48",8,9,20498.8487904
"49",NA,4,94.0333044
"50",NA,6,895.2812428
"51",NA,9,230.6818424
