"","work","univ","sch","esco","imain","idisc","jmain","jdisc","atwork"
"1",2431.055702024,0,0,36.892601655,173.1717063,149.587078095,0,0,0
"2",4056.16329837,139.831384935,0,59.005050825,0,14.803239675,0,0,0
"3",10909.540871798,41.635068009,86.2536482,750.244222699,600.360036405,989.530724331,0,0,0
"4",14537.007059777,302.4567582,0,641.713800709,1197.144069713,1206.106396352,0,148.9110204,0
"5",48392.40709088,1205.2693911,0,2159.16040056,2415.47576213,5969.217917318,316.703264,1151.780686626,51.912734475
"6",77741.4465124322,1623.477972483,1874.6960448,4787.745093851,4760.63510639,8231.073988298,333.565318894,488.120233886,0
"7",124133.072851799,3200.741086005,21444.6200633,9836.675450915,14727.583284032,10714.582208409,108.414927781,561.789974918,915.37298429
"8",221828.185069342,12473.586928987,129907.692852485,32863.806821401,20873.593447694,19279.219843792,203.607317793,1566.673518104,2503.453511278
"9",267456.258004787,21870.811195536,227872.637158702,71869.0837066294,34389.227989708,38436.6584755429,1340.809372444,1074.567285018,2734.958738231
"10",279240.193367117,22057.086605191,209673.106846404,113741.664396733,40017.200770965,50237.5806847878,2102.500931036,1916.447857596,5622.4134856321
"11",200292.516079046,29342.614186133,153369.176592484,89580.5683747264,85407.9778075584,58435.7726306721,4079.166527949,3059.497389975,4155.005443571
"12",133083.934467478,27748.720329258,91638.503320884,75533.5994212984,96233.5584363143,62921.16578284,5070.28621714368,5510.242789677,8875.929611472
"13",80285.4831500431,22122.495170221,15876.2788988,36480.5771062024,137352.48172377,76226.6212247482,10915.49769125,8727.890866653,6629.093467527
"14",70423.7350672971,20584.293415416,6663.783887292,23060.9557407625,127789.775423157,59104.7573241419,16006.918645022,8038.000722624,12595.922089507
"15",43430.351623175,15195.540898289,4165.184613972,10842.9012728185,161705.261565406,66440.8244310584,19695.0323090324,12127.669875033,10871.16705739
"16",29022.7098251082,10432.676295064,5358.787374652,13680.4585521182,160310.876707962,59478.6413158516,18536.8042558417,6662.311573438,13824.1228247397
"17",28094.167035213,13151.194680287,9962.646003024,17923.1909834337,168258.365896769,83601.1318327239,19270.2138624791,7896.855519025,29162.1276327241
"18",34667.4955684772,14575.46221191,17377.790902292,27443.0012094862,177804.835571577,89443.2565932133,21012.128474207,11460.348041467,67297.7060165427
"19",41611.5007956815,24844.449211328,15495.426370532,26629.6040726549,167507.392534203,78873.1206253597,22926.3484831824,7354.8626795101,92127.0283759147
"20",51368.1300576997,15516.274203921,7459.020590056,22023.3542507562,154388.423058454,69247.7035519622,19738.780845982,8673.925433933,71261.1818445632
"21",51947.1853615238,19779.36307801,6214.003833644,14608.3649046352,176595.477777277,62720.2384706573,21721.0244187618,8552.39923926748,54085.5220616179
"22",49832.4643998305,19063.003644752,12645.230582748,21601.3640856926,161042.290437846,66170.6061951047,28669.7299993752,7166.20724230292,48086.6845628989
"23",79849.9976714366,25575.2734593,65096.419296425,46718.4085575562,157126.801831425,75676.8259867903,20907.77567334,6912.29666765306,21506.1617802368
"24",91008.1886226317,19698.149845516,132561.677241197,88876.4399689837,144939.83467847,85569.8324708841,27558.8769093285,6901.38780992926,15224.0958198199
"25",129366.926830554,28650.0161690556,180248.109553148,129627.297672332,160895.113998113,103479.050098385,25639.5565305735,10108.2664883314,11196.352883316
"26",177566.511536578,23683.6026602186,207637.586411356,120177.605702971,137665.883088122,95601.1657285828,16620.5756051362,6943.9183380973,8157.9467755762
"27",242873.506341601,24007.366357463,127432.674310268,73628.3401765382,137985.962849509,111121.375212644,15689.256551889,10778.3981317043,14300.6940321722
"28",273723.499098243,19218.418725942,84569.4040484051,67863.2916420932,131448.845618401,100453.960000376,13682.246673477,12095.0404072123,12685.2713762202
"29",315207.615975774,17134.3499889002,81639.0302661592,61463.9486474939,113523.154803275,120208.014656809,17038.490035706,18682.5807354023,6472.491609245
"30",220204.300257073,15939.4769824732,74648.178476168,58781.4773538837,94909.888398555,156656.640506601,15781.374716573,24947.5479495275,2154.994435611
"31",180593.658364317,13997.8889407646,50069.0860953973,39932.4295904555,89942.499756226,158931.138620425,13503.460957997,32887.6399891,2847.676978735
"32",111672.473303629,7628.025878459,35647.264338536,42943.5269172438,78835.0067871309,145566.454705468,13924.588108779,35496.147081501,1145.800853949
"33",84399.5537394553,11228.705247438,22072.85912752,31947.846002264,75669.7326887329,120449.50467648,12484.337863732,27138.5456870155,876.888559891
"34",63087.9901006664,10891.660309209,17296.741115084,30355.1256620329,66588.4020691398,126775.838148992,10188.86997644,19930.340955734,1062.14183376
"35",57840.8474927201,11151.225190308,17969.302717216,24673.8338953205,40050.641061968,125786.303469725,9434.450884433,23469.9920680343,365.74265684
"36",37227.7660010746,6528.14904873,7820.442681496,20449.9579524667,34839.382373809,97133.0128014073,3202.412882958,18821.55340291,381.647465515
"37",49144.491643175,10678.297906769,7026.151199144,12882.855414787,22184.25632717,72315.178445343,3406.704163693,13396.7975164483,2814.318454125
"38",27220.464569011,7311.000726473,2460.326638192,7492.251076108,9164.201252334,39035.038663518,2163.548596222,10257.844069427,322.6927646922
"39",33297.1354654372,6259.214359457,1386.724023276,7315.89042038,8527.100565369,30626.8252448389,1234.217653149,5649.510741527,0
"40",21215.62881148,3752.38815864,185.449446692,2126.2428553025,4068.178857123,21267.865674482,1161.779803467,415.841330187,112.7202702
"41",23063.227042835,448.2724935,86.2536482,3144.872486547,3400.403492613,17511.1156635099,95.424874965,894.330350149,112.7202702
"42",20524.4692326466,1015.226252364,0,1929.503055449,2144.137844345,9518.46509010992,163.9294507,202.996880028,112.7202702
"43",11579.5833642822,538.5647987,0,2875.238633528,1077.486970678,10879.320421159,0,0,0
"44",3903.037386534,447.7360694,0,727.56461954,675.334297788,3421.040918182,0,0,0
"45",4127.545086212,0,0,290.058419224,1263.3158152322,4257.733494155,0,0,0
"46",3756.956096366,0,0,82.44574073,338.859480318,5752.21779368542,0,0,0
"47",1260.337921824,0,40.6612433,10.4339702,506.66350551,3268.092296815,0,0,0
"48",2622.990510601,0,0,376.517674696,41.22391336,2171.99481884,0,0,0
"49",0,0,0,0,0,0,0,0,0
