"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",277227.464864537,9338.4544958522,4160.848809825,0,0,0,0,0,0
"2",0,83534.0060516762,16084.810687923,0,0,0,0,0,0
"3",0,0,45833.816341981,0,0,0,0,0,0
"4",1807.8769550949,116.116224,190.139978475,55196.9558979239,0,672.7292846717,0,0,0
"5",0,0,0,0,3673.653457308,0,0,0,0
"6",0,0,0,0,0,4420.3863008735,0,0,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,3599.20610805
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
