"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",67764.91591616,16096.472063656,6011.2507963,0,0,0,0,0,2909.973838672
"2",0,306150.068563524,148022.321462359,0,324.1559589,1479.037088072,0,0,81621.528265924
"3",0,0,708249.630789999,0,817.7121731,8610.77761204,0,0,89358.095740244
"4",0,17715.995929892,27783.18888854,81397.74938882,4655.5103378,4931.3234084,0,129.2141752,20663.049966296
"5",0,0,0,0,18495.056349076,0,0,0,98.4015558
"6",0,0,0,0,0,19008.991926104,0,198.2696586,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,456.698009,0
"9",0,0,0,0,0,0,0,0,420029.791598972
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
