"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",5876286.05527629,992793.571639349,408548.38326459,0,14016.540955332,4424.73995761732,2230.457819523,1177.420062664,6510.52630047
"2",0,3862945.25661881,815621.629868126,0,5965.570829328,13679.3061503082,791.24008465308,3588.178730255,86300.3801245136
"3",0,0,2830600.19147315,0,3083.119633176,16849.4969876318,377.7337662,305.0174801,96293.2828411622
"4",55117.9960607458,69054.1575656412,72085.335231421,776600.588828652,8952.9872458058,63416.2987924882,1747.7776093844,785.658392765,22341.806968254
"5",0,0,0,0,178265.428461961,2633.49953003,0,964.7620423,98.4015558
"6",0,0,0,0,0,261091.347305704,345.9894676581,2801.914018511,0
"7",0,0,0,0,0,0,10593.8327810415,0,0
"8",0,0,0,0,0,0,0,13225.46804298,0
"9",0,0,0,0,0,963.008962,0,0,464641.086963435
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
