"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",165668.276257064,27058.044333702,18285.2601604476,0,838.31503,720.967533018,188.8668831,0,102.957219008
"2",0,100015.393168166,23223.7766556078,0,181.142961,134.260029912,377.7337662,0,1606.388736952
"3",0,0,78144.4959939248,0,0,359.972280712,377.7337662,0,1771.985969936
"4",2437.20489768,2319.879165527,2116.309386,52881.324908044,2508.364145752,10977.054919295,908.7508154,106.2412899,1196.586381708
"5",0,0,0,0,15050.729357241,0,0,0,0
"6",0,0,0,0,0,34581.83241039,0,0,0
"7",0,0,0,0,0,0,719.8839323,0,0
"8",0,0,0,0,0,0,0,212.4825798,0
"9",0,0,0,0,0,147.818194,0,0,15833.960156128
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
