"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",2329385.19608503,357059.053293662,182674.875302551,0,2491.041801681,831.49287437632,2041.590936423,1177.420062664,1288.596355578
"2",0,656966.680483333,150745.597918841,0,2527.618651308,8081.86911642122,413.50631845308,610.843986495,257.292515212
"3",0,0,243447.415885297,0,1462.76880672,1223.16480585676,0,137.647929,0
"4",12918.921414079,12244.6484972055,3896.47455390444,36070.517515674,1212.2547990748,7657.14556163552,805.9374479835,169.317889965,0
"5",0,0,0,0,37299.8153856656,2112.62404788,0,0,0
"6",0,0,0,0,0,56555.605354946,345.9894676581,1561.069081249,0
"7",0,0,0,0,0,0,8879.62469772966,0,0
"8",0,0,0,0,0,0,0,4392.589804078,0
"9",0,0,0,0,0,815.190768,0,0,1362.306309422
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
