"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",1140310.64094442,144970.571372348,52135.5150424549,0,6865.475028837,172.5269604,0,0,126.682205552
"2",0,525039.690117703,135298.143124152,0,2262.385492132,1279.766451345,0,2130.6192925,1472.55845353456
"3",0,0,426976.510411825,0,0,1352.346948097,0,167.3695511,1891.31620604224
"4",16360.2206104714,19875.9944196225,23359.4230188969,211927.47431389,420.614873537,8871.230578021,0,0,436.1789623
"5",0,0,0,0,47384.060055669,520.87548215,0,184.1933374,0
"6",0,0,0,0,0,28911.050602601,0,92.0966687,0
"7",0,0,0,0,0,0,64.42591,0,0
"8",0,0,0,0,0,0,0,2557.4550634,0
"9",0,0,0,0,0,0,0,0,7908.79464403856
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
