"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",1832371.83432196,437468.346341798,144512.627265916,0,3821.709094814,2500.380587008,0,0,2082.31668166
"2",0,959804.685865861,306705.727292817,0,400.442761668,2704.373464558,0,846.71545126,1024.329318379
"3",0,0,720443.557982058,0,743.374577356,4978.5375222,0,0,3271.88492494
"4",21593.7721834205,10588.2139117872,10193.2178501637,195283.133395022,156.243089642,26932.958085217,0,380.8850377,45.99165795
"5",0,0,0,0,41329.900372808,0,0,780.5687049,0
"6",0,0,0,0,0,97775.8372078711,0,950.478609962,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,5157.077823802,0
"9",0,0,0,0,0,0,0,0,7491.920136713
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
