"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",2005.7565542,0,0,0,0,0,0,0,0
"2",0,227775.569105383,9503.26389020122,0,70.231863406,0,0,0,135.414941112
"3",0,0,110923.337761894,0,27.811425,135.585047026,0,0,0
"4",0,1606.235962475,766.655654144,28354.772752439,0,0,0,0,0
"5",0,0,0,0,3493.30135118,0,0,0,0
"6",0,0,0,0,0,670.4379452,0,0,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,2601.104295712
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
