"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",264.048245,64.813185885,0,0,0,96.6836909,0,0,0
"2",0,358106.473077093,8171.824520115,0,0,0,0,0,0
"3",0,0,77873.6916389958,0,0,0,0,0,0
"4",0,1457.988030532,1338.904661152,13099.263044154,0,1082.648580756,0,0,0
"5",0,0,0,0,458.735356968,0,0,0,0
"6",0,0,0,0,0,4011.129331192,0,0,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,129.2141752
"10",0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0
