"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",2329385.19608503,"worktourmode1"
"10","Auto SOV","work",0,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",12918.921414079,"worktourmode1"
"5","Auto SOV","work",0,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",0,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",357059.053293662,"worktourmode2"
"10","Auto 2 Person","work",0,"worktourmode2"
"2","Auto 2 Person","work",656966.680483333,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",12244.6484972055,"worktourmode2"
"5","Auto 2 Person","work",0,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",0,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",182674.875302551,"worktourmode3"
"10","Auto 3+ Person","work",0,"worktourmode3"
"2","Auto 3+ Person","work",150745.597918841,"worktourmode3"
"3","Auto 3+ Person","work",243447.415885297,"worktourmode3"
"4","Auto 3+ Person","work",3896.47455390444,"worktourmode3"
"5","Auto 3+ Person","work",0,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",0,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"10","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",36070.517515674,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",2491.041801681,"worktourmode5"
"10","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",2527.618651308,"worktourmode5"
"3","Bike/Moped","work",1462.76880672,"worktourmode5"
"4","Bike/Moped","work",1212.2547990748,"worktourmode5"
"5","Bike/Moped","work",37299.8153856656,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",831.49287437632,"worktourmode6"
"10","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",8081.86911642122,"worktourmode6"
"3","Walk-Transit","work",1223.16480585676,"worktourmode6"
"4","Walk-Transit","work",7657.14556163552,"worktourmode6"
"5","Walk-Transit","work",2112.62404788,"worktourmode6"
"6","Walk-Transit","work",56555.605354946,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",0,"worktourmode6"
"9","Walk-Transit","work",815.190768,"worktourmode6"
"1","PNR-Transit","work",2041.590936423,"worktourmode7"
"10","PNR-Transit","work",0,"worktourmode7"
"2","PNR-Transit","work",413.50631845308,"worktourmode7"
