"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
NA,NA,NA,NA,NA
"Monroe","Monroe","Auto 2 Person","Shop",16879.181822999
"Detroit","Detroit","Walk","Work",12316.3131592402
"Detroit","Oakland","Auto SOV","Work",48874.5890124626
"Oakland","Detroit","Auto SOV","Work",42247.7379106066
"Wayne","Washtenaw","Auto SOV","Work",32689.8714912807
"Washtenaw","Monroe","Auto SOV","Work",4326.59509899516
"Monroe","Wayne","Auto SOV","Work",11834.728032414
"Wayne","Wayne","Auto SOV","Eating Out",46797.8953692357
"Washtenaw","Washtenaw","Auto SOV","Work-based",27580.9257552171
"Wayne","Wayne","Auto SOV","Work",416897.485895418
"Wayne","Wayne","Auto 2 Person","Work-based",15000.108525404
"Washtenaw","Washtenaw","Auto SOV","University",18938.943656127
"Washtenaw","Washtenaw","Auto SOV","Maintenance",68258.6617723661
"Washtenaw","Washtenaw","Auto SOV","Eating Out",17645.6512981434
"Detroit","Macomb","Auto SOV","Work",27842.842180948
"Macomb","Detroit","Auto SOV","Work",32997.923320656
"Detroit","Detroit","Walk","Maintenance",22089.362939914
"Detroit","Detroit","Auto SOV","Maintenance",89806.316875386
"Detroit","Detroit","Walk","Discretionary",32502.645115026
"Macomb","Detroit","Auto SOV","Work-based",2324.108130639
"Detroit","Detroit","Auto SOV","Work-based",19269.1098234112
"Detroit","Macomb","Auto SOV","Work-based",2309.794829862
"Oakland","Oakland","Auto SOV","Work",617098.988518429
"Oakland","Oakland","Auto 2 Person","Work",186957.328056951
"Oakland","Oakland","Auto SOV","Work-based",94208.8196921582
"Washtenaw","Washtenaw","Walk-Transit","Shop",4885.63257828812
"Washtenaw","Washtenaw","Walk","Shop",5249.528694466
"Livingston","Livingston","Auto 2 Person","Escort",15018.167518446
"Livingston","Livingston","Auto SOV","Escort",11647.178353936
"Livingston","Livingston","Auto 3+ Person","Escort",10954.400415431
"Livingston","Wayne","Auto SOV","Work",8856.445338795
"Wayne","Livingston","Auto SOV","Work",8789.08178378
"Livingston","Livingston","Auto 2 Person","Work",16493.2905207152
"Livingston","Livingston","Auto 3+ Person","School",20125.716193888
"Livingston","Livingston","Walk","School",1653.5317664
"Livingston","Livingston","Auto 2 Person","School",19776.022911428
"Wayne","Wayne","Walk","Discretionary",41104.618210354
"Wayne","Wayne","Auto SOV","Shop",240742.920290053
"Oakland","Oakland","Walk","Escort",23095.274645654
"Oakland","Oakland","Auto 3+ Person","Discretionary",120176.678062286
"Oakland","Oakland","Walk","School",28233.984442152
"Washtenaw","Washtenaw","Auto 2 Person","Discretionary",52437.640872527
"Washtenaw","Detroit","Auto 2 Person","Work",2199.767832719
"Detroit","Washtenaw","Auto SOV","Work",2254.116057706
"Detroit","Detroit","Walk-Transit","Discretionary",10845.806930354
"Wayne","Macomb","Auto 2 Person","Work",7943.322972463
"Macomb","Oakland","Auto 2 Person","Work",17059.775810052
"Oakland","Wayne","Auto 2 Person","Work",20553.395596252
"Wayne","Wayne","School Bus","School",86597.477474804
"Wayne","Wayne","Auto 3+ Person","School",176561.836812564
"Washtenaw","Detroit","Auto SOV","Work",2483.35290367012
"Detroit","Detroit","Auto 2 Person","Maintenance",70887.8286476111
"Detroit","Wayne","Auto 2 Person","Maintenance",17601.210186779
"Wayne","Detroit","Auto 2 Person","Maintenance",18596.209689799
"Livingston","Livingston","Auto SOV","Work",51251.4446228399
"Livingston","Detroit","Auto SOV","Work",601.345737232
"Detroit","Livingston","Auto SOV","Work",694.538135812
"Washtenaw","Washtenaw","Auto SOV","Work",144684.849656353
"Monroe","Monroe","Auto SOV","Work",43639.979800482
"St. Clair","Macomb","Auto 2 Person","Escort",1312.677208785
"Macomb","St. Clair","Auto SOV","Escort",1438.481656377
"St. Clair","Macomb","Auto SOV","Escort",1471.877644277
"Macomb","Macomb","Auto 2 Person","Escort",83945.8031415933
"Macomb","St. Clair","Auto 2 Person","Escort",1730.262516412
"St. Clair","St. Clair","Auto SOV","Visiting",9592.540786127
"St. Clair","Macomb","Auto 2 Person","School",1468.902756772
"Macomb","Macomb","Walk","School",31748.136268092
"Macomb","Macomb","Auto 2 Person","School",77755.360171872
"Macomb","St. Clair","Auto 2 Person","School",1150.351964572
"Washtenaw","Washtenaw","Auto 2 Person","Work",58401.7778148481
"Washtenaw","Washtenaw","Walk","Discretionary",27662.9477630006
"Washtenaw","Washtenaw","Auto 3+ Person","Maintenance",15991.9895676256
"Washtenaw","Washtenaw","Auto 2 Person","Maintenance",36598.5294480634
"Washtenaw","Washtenaw","Auto 2 Person","Escort",34019.7972505696
"Washtenaw","Washtenaw","Auto 3+ Person","Escort",25046.689055564
"Washtenaw","Washtenaw","Auto 3+ Person","Visiting",5450.718012887
"Washtenaw","Washtenaw","Auto 2 Person","School",42542.6198930832
"Washtenaw","Washtenaw","Auto 3+ Person","School",50303.570233423
"Oakland","Macomb","Auto SOV","Work",105845.234399757
"Macomb","Oakland","Auto SOV","Work",105045.970123441
"Oakland","Oakland","Auto SOV","Shop",272630.83151746
"Washtenaw","Washtenaw","Auto 2 Person","Shop",45747.3879164297
"Oakland","Oakland","Auto 3+ Person","Eating Out",27438.3534945501
"Livingston","Washtenaw","Auto SOV","Work",11091.4717601205
"Washtenaw","Livingston","Auto SOV","Work",10992.3564699615
"Livingston","Livingston","Auto 2 Person","Eating Out",8139.997095239
"Washtenaw","Washtenaw","Auto 2 Person","Work-based",7222.9060723748
"Livingston","Oakland","Auto SOV","Work",17801.800625174
"Oakland","Livingston","Auto SOV","Work",17581.662141103
"Oakland","Wayne","Auto SOV","Work-based",4424.239280483
"Wayne","Wayne","Auto SOV","Work-based",61476.875440163
"Wayne","Oakland","Auto SOV","Work-based",4760.7860870972
"Washtenaw","Washtenaw","Walk","Work",20943.707700286
"Washtenaw","Washtenaw","Auto 3+ Person","Work",10985.1469400629
"Washtenaw","Washtenaw","Auto 3+ Person","Discretionary",22335.417063634
"Oakland","Oakland","Auto 2 Person","University",23890.512586935
"Oakland","Wayne","Auto SOV","University",2706.585705195
"Wayne","Oakland","Auto SOV","University",3337.035789703
"Oakland","Oakland","Auto SOV","University",39222.257514753
"Oakland","Oakland","Auto SOV","Visiting",60811.4176218403
"Oakland","Oakland","Auto 2 Person","Visiting",38727.365086671
"Oakland","Oakland","Auto 2 Person","School",139732.06219842
"Detroit","Detroit","Walk","Shop",62957.881530196
"Detroit","Detroit","Auto SOV","Work",112954.950778603
"Detroit","Detroit","School Bus","School",20142.775715692
"St. Clair","St. Clair","Walk-Transit","Discretionary",483.322522532
"Washtenaw","Washtenaw","Auto SOV","Discretionary",62781.6836139657
"Washtenaw","Washtenaw","Auto SOV","Shop",57831.8362433886
"Washtenaw","Washtenaw","Auto SOV","Escort",28861.8695006473
"Washtenaw","Washtenaw","School Bus","School",22980.468861508
"Detroit","Wayne","Auto SOV","Shop",12967.5880884172
"Wayne","Detroit","Auto SOV","Shop",12309.7002560549
"Wayne","Oakland","Auto SOV","Work",93823.553768241
"Oakland","Wayne","Auto SOV","Work",96523.3269673261
"St. Clair","Macomb","Auto 2 Person","Shop",1770.167326565
"Macomb","Macomb","Auto 2 Person","Shop",129807.974877916
"Macomb","St. Clair","Auto 2 Person","Shop",2031.919963986
"St. Clair","Detroit","Auto SOV","Maintenance",158.1139131
"Detroit","Macomb","Auto SOV","Maintenance",3360.7806366735
"Macomb","St. Clair","Auto SOV","Maintenance",2169.614169202
"Livingston","Oakland","Auto SOV","Shop",3884.563662168
"Oakland","Livingston","Auto SOV","Shop",3584.697615797
"Monroe","Monroe","Auto 3+ Person","Maintenance",9757.331064157
"Monroe","Monroe","School Bus","School",20435.580069296
"Monroe","Monroe","Auto 3+ Person","School",15821.41667632
"Livingston","Livingston","Auto 2 Person","Shop",23876.4640391533
"Macomb","Macomb","Auto SOV","Work",376944.030356448
"Wayne","Oakland","Auto 2 Person","Maintenance",9130.332583649
"Oakland","Oakland","Auto 2 Person","Maintenance",141121.402380414
"Oakland","Wayne","Auto 2 Person","Maintenance",8999.000059231
"Wayne","Livingston","Auto SOV","Shop",232.51303722
"Livingston","Livingston","Auto SOV","Shop",33642.581129346
"Monroe","Monroe","Walk","Maintenance",3035.970085895
"Monroe","Monroe","Auto SOV","Shop",23352.467572136
"Wayne","Wayne","Auto SOV","Discretionary",172187.039190868
"Wayne","Wayne","Auto 2 Person","Shop",179732.90700493
"Wayne","Macomb","Auto SOV","Work",21643.352707739
"Macomb","Oakland","Auto SOV","Work-based",3339.804029222
"St. Clair","St. Clair","Walk","Work",979.693407321
"St. Clair","St. Clair","Auto SOV","Work",66106.5677420187
"Monroe","Monroe","Walk","Shop",3990.880193864
"Monroe","Monroe","Auto 3+ Person","Shop",8393.179758378
"Oakland","Oakland","Auto SOV","Maintenance",234575.97020297
"Oakland","Oakland","Auto 2 Person","Shop",130341.7025598
"Wayne","Wayne","Auto 3+ Person","Discretionary",83472.7799457792
"Wayne","Wayne","Auto 2 Person","Discretionary",132667.188941292
"Wayne","Wayne","Auto SOV","Visiting",62528.1825212184
"Wayne","Wayne","Walk","School",54980.837988116
"Wayne","Wayne","Auto 2 Person","School",115133.555175108
"St. Clair","St. Clair","Walk","Discretionary",3906.1082049135
"Livingston","Oakland","Auto 2 Person","Work",4038.389709127
"Oakland","Livingston","Auto 2 Person","Work",5249.413952344
"Livingston","Livingston","Walk","Discretionary",6375.931841938
"Wayne","Wayne","Auto 2 Person","Maintenance",120667.430045299
"Oakland","Wayne","Auto SOV","Maintenance",16415.310258861
"Wayne","Wayne","Auto SOV","Maintenance",199550.154415584
"Monroe","Monroe","Auto 3+ Person","Work",5878.542160467
"Monroe","Monroe","Auto 3+ Person","Discretionary",11161.2788241397
"Monroe","Detroit","Auto SOV","Work",1532.021912471
"Detroit","Monroe","Auto SOV","Work",1619.822877958
"Monroe","Monroe","Walk","School",3070.4590109
"Monroe","Monroe","Auto 3+ Person","Visiting",8380.429697075
"Detroit","Detroit","Auto 2 Person","Shop",46833.653746128
"Livingston","Livingston","Auto SOV","Discretionary",25786.4832921194
"Livingston","Livingston","Auto 2 Person","Discretionary",24961.495067393
"Oakland","Oakland","Auto SOV","Escort",83050.7487866886
"Oakland","Macomb","Auto SOV","Escort",2462.388661638
"Macomb","Oakland","Auto SOV","Escort",2097.792339047
"Livingston","Washtenaw","Auto 2 Person","Work",4493.345156643
"Washtenaw","Livingston","Auto 2 Person","Work",3859.493647551
"Livingston","Livingston","Auto SOV","Maintenance",29091.33953673
"St. Clair","Macomb","Auto SOV","Maintenance",1618.045963901
"Macomb","Macomb","Auto SOV","Maintenance",161557.477977824
"Macomb","Macomb","Auto 2 Person","Maintenance",121237.429141025
"St. Clair","St. Clair","Auto SOV","Maintenance",35206.2903859254
"St. Clair","Macomb","Auto SOV","School",341.263887132
"Macomb","St. Clair","Auto SOV","School",261.206017632
"St. Clair","Macomb","School Bus","School",1785.6683732
"Macomb","St. Clair","Walk","School",194.7660663
"St. Clair","St. Clair","Auto 2 Person","School",14467.442129596
"St. Clair","Macomb","Auto 2 Person","Maintenance",976.359366167
"Macomb","Oakland","Auto 2 Person","Maintenance",16015.713312305
"Oakland","Macomb","Auto 2 Person","Maintenance",17047.678996326
"Macomb","St. Clair","Auto 2 Person","Maintenance",796.523204267
"Washtenaw","Washtenaw","Walk","Work-based",18963.5605051653
"Wayne","Wayne","Auto 3+ Person","Maintenance",38026.487740809
"Wayne","Livingston","Auto SOV","Maintenance",1016.831871478
"Livingston","Wayne","Auto 2 Person","Work",3649.297399514
"Wayne","Livingston","Auto 2 Person","Work",2761.720608356
"Livingston","Livingston","School Bus","School",25314.069238724
"Livingston","Oakland","Auto 2 Person","Eating Out",362.157800613
"Oakland","Oakland","Auto 2 Person","Eating Out",78002.3083469213
"Oakland","Livingston","Auto SOV","Eating Out",2193.726280906
"Detroit","Detroit","Auto 3+ Person","Work",22171.2152709001
"Detroit","Detroit","Auto 2 Person","Work",40967.9153441804
"Detroit","Wayne","Auto SOV","Work",62307.5598213222
"Wayne","Detroit","Auto SOV","Work",61749.294676444
"Detroit","Detroit","Auto SOV","University",18033.7989608796
