"distbin","Detroit","Livingston","Macomb","Monroe","Oakland","St. Clair","Washtenaw","Wayne","Total"
1,7212.5781625,0,2730.0100437,153.4337481,306.1106784,132.8407356,10834.3735801,1106.5862792,22475.9332276
2,6667.6892163,74.5376457,3274.3565965,212.4748065,1223.7103781,138.0611466,3333.8436759,4850.3485219,19775.0219875
3,636.0392379,32.1795789,5578.5425796,588.9907616,930.1795769,477.3549271,2248.7388444,1495.0735984,11987.0991048
4,2919.184513,0,1157.6373129,0,1230.782964,108.385117,3800.3254107,2205.9072184,11422.222536
5,1363.3022148,0,617.5004109,175.0562989,1947.072021,205.010478,3644.2607521,2910.3696411,10862.5718168
6,1570.5074865,39.3476278,1029.6684545,318.3417141,1457.593718,146.1901095,1900.6855413,629.1476373,7091.482289
7,3356.8548006,1028.0564163,1209.2105598,223.7813855,1153.0377672,574.6569758,903.1343239,1752.6067409,10201.33897
8,2795.4735889,53.332228,1285.2621194,191.6053865,2351.0523916,0,1051.7079273,1030.5914443,8759.025086
9,1675.6520267,48.8553433,2145.519893,0,1758.0179821,182.320602,550.8124064,369.5966047,6730.7748582
10,324.8407155,39.3476278,338.8375704,93.3781162,552.2166294,0,869.8110024,998.5879741,3217.0196358
11,1752.6159013,0,929.3333313,26.7867479,5284.320228,77.7467528,221.0083324,4062.4185241,12354.2298178
12,434.515898,33.0964713,1322.0241995,102.1305056,1769.8428287,0,1132.1492051,3453.6097949,8247.3689031
13,576.0052048,27.8740721,417.6437805,56.002045,2794.8588932,156.2750162,250.4340807,3088.736805,7367.8298975
14,1774.2971796,28.5606365,929.1652604,122.5570428,806.0684546,0,0,1743.3220888,5403.9706627
15,0,0,831.8283367,49.4444589,585.1908143,0,247.0769851,3020.1031832,4733.6437782
16,979.120809,153.97961,952.6249815,446.0887871,1858.0726985,30.3558967,753.5511159,0,5173.7938987
17,985.8925402,0,4428.7830086,0,703.4201136,0,116.4663277,872.1233847,7106.6853748
18,60.5770834,74.2790984,170.299164,91.5739112,221.1254122,0,0,440.8169358,1058.671605
19,124.0616174,0,315.4539613,0,566.3314556,0,156.8073631,163.9829203,1326.6373177
20,1989.4525415,43.0817271,1679.7454329,15.3678576,3163.6922869,303.109328,1188.9607267,754.9071755,9138.3170762
21,0,80.3075917,818.5459517,57.9480695,343.8021696,0,159.0805255,607.4299891,2067.1142971
22,0,0,943.1001623,0,248.6617591,0,0,1921.4682027,3113.2301241
23,0,41.5102698,120.9989629,0,586.2495288,49.2398183,0,787.1154576,1585.1140374
24,0,157.8349974,0,188.9259288,533.3046988,45.4232338,0,0,925.4888588
25,74.2663603,45.5838103,0,0,734.1919179,0,0,0,854.0420885
26,0,61.6584406,279.7302457,0,2400.6823323,101.0062438,85.0372899,865.8156124,3793.9301647
27,0,21.3565801,895.5505869,14.3383241,363.5378138,0,0,1403.6630198,2698.4463247
28,0,0,872.1616495,0,1333.8078261,0,159.5455494,513.0198952,2878.5349202
29,0,483.3518526,742.1042784,0,843.0177614,0,0,1002.4242118,3070.8981042
30,98.3650529,449.4465485,229.6656768,0,1190.3907331,0,0,92.1596823,2060.0276936
31,0,314.4364609,421.3973457,16.5741777,362.8537868,0,0,0,1115.2617711
32,151.6698574,105.886241,190.5458194,0,233.4400494,0,0,93.0899357,774.6319029
33,0,0,165.8162879,0,502.2261396,0,66.9628868,106.0231016,841.0284159
34,390.5096305,93.3936733,135.0578954,166.8883456,664.2110056,0,0,240.9128106,1690.973361
35,0,0,0,21.963264,213.0534015,66.9731768,0,0,301.9898423
36,106.2412899,46.4746686,0,0,0,0,274.167627,0,426.8835855
37,0,110.0374408,213.1079326,299.3253125,129.8866461,34.3216186,0,0,786.6789506
38,0,257.2097055,0,233.2312654,0,0,0,130.4967479,620.9377188
39,0,88.5845563,235.9538234,17.1184623,123.4951794,0,0,0,465.1520214
40,0,38.5438936,0,60.8826387,0,0,0,169.4048863,268.8314186
41,0,0,0,13.6177572,304.9484915,0,145.5927479,0,464.1589966
42,0,0,0,78.328965,0,0,0,0,78.328965
43,246.058466,0,0,0,0,26.8666352,43.3624226,0,316.2875238
44,0,0,0,0,0,0,0,0,0
45,0,33.0240886,0,0,490.7398573,47.6213992,0,0,571.3853451
46,0,0,0,0,1652.0147898,0,0,0,1652.0147898
47,0,28.5606365,0,0,124.257241,0,0,0,152.8178775
48,0,23.5481019,0,0,0,37.6229409,0,0,61.1710428
49,0,0,0,0,121.9451004,0,0,0,121.9451004
50,1138.8194858,0,165.8162879,0,0,0,0,0,1304.6357737
51,0,0,848.8341125,91.5739112,1478.6054395,347.0882261,246.4055519,0,3012.5072412
