"distbin","Detroit","Livingston","Macomb","Monroe","Oakland","St. Clair","Washtenaw","Wayne","Total"
1,7320.8743558,1094.3076298,5787.8676075,372.5901401,11501.1852554,1552.9052039,8865.6113749,12402.2810518,48897.6226192
2,7946.6057288,1603.1454561,11447.1378358,2279.3522491,22492.9293358,2625.4078631,14930.2261372,22293.9065863,85618.7111922
3,11671.3711446,1023.7994947,15856.5345198,2740.8596998,17110.0008334,4099.8588863,14785.3482081,22143.3119311,89431.0847178
4,8683.7164667,2010.5657867,20886.3761148,3464.0248314,21131.2265095,2450.1753279,11775.3955176,19155.5570972,89557.0376518
5,13949.9283525,3611.0437421,24049.9648085,2609.1225904,22089.6034047,2868.6538274,10245.1754172,23969.1657176,103392.6578604
6,5560.4382926,2726.314408,22652.8036668,1699.99918,24085.0562283,4437.9909611,8056.8346881,16931.4554011,86150.892826
7,12617.3788723,1931.6697502,14409.0686621,1392.6016591,27566.0929055,1568.3014643,6847.1915467,22182.9864713,88515.2913315
8,9540.456413,712.9790057,14195.197307,1226.2588492,21586.1727328,2165.5051187,5235.4124351,19047.4267282,73709.4085897
9,8704.6695498,1262.9442319,22761.5106321,1787.3946665,24754.7981244,1265.2208559,4031.8515486,20613.0808474,85181.4704566
10,9764.3440767,2698.5203205,17604.9322413,1400.5264214,20072.9962913,2187.3318863,5269.501657,10774.3624331,69772.5153276
11,9328.076707,2499.6683938,10099.6942053,1380.5864879,22216.3466101,2120.5204148,3211.3873255,13565.9525696,64422.232714
12,8829.88577,1102.432214,15533.2176184,484.4310826,16243.894554,1598.6247818,3557.7688143,13640.8003858,60991.0552209
13,7647.4475214,1419.2798867,11660.3318683,1761.0870173,16046.0812584,1708.7558471,2967.169148,17020.2072272,60230.3597744
14,7631.3323687,2081.8313997,11429.1124084,1100.308239,18090.1797413,1248.1762304,2047.1967514,12676.5500771,56304.687216
15,3614.6414634,1144.855827,10438.8469281,1004.2789539,11156.8301975,1192.6935912,1300.8402353,14463.3830334,44316.3702298
16,2902.8882734,1929.0571466,10243.6100984,1659.7658388,13129.0501407,1588.8081322,2507.1269437,11343.413287,45303.7198608
17,3738.2591079,1679.5648775,9075.1492347,469.3602049,11270.3297457,804.9982003,1914.3556632,14179.0874568,43131.104491
18,3893.4634994,1237.9843048,6882.5790528,731.6843208,7877.1783992,767.5068408,625.6501733,11362.4778791,33378.5244702
19,1591.3938256,1947.5113682,9706.2796944,987.3563828,9922.9124125,1166.6193282,399.1257176,15012.9834585,40734.1821878
20,1027.4279809,2453.0113067,6316.1456167,1069.0721868,9827.2262555,926.3778772,1899.4461982,12071.4537644,35590.1611864
