TAZ,EmpCatID,Emp
1,2,6
1,3,20
1,3,20
1,3,50
1,4,22
1,4,100
1,5,4
1,5,9
1,5,39
1,6,6
1,16,4
1,17,2
1,17,2
1,17,6
2,2,2
2,2,2
2,2,3
2,2,5
2,3,5
2,3,5
2,3,8
2,3,12
2,4,5
2,4,5
2,5,1
2,5,1
2,5,2
2,5,2
2,5,2
2,5,3
2,5,3
2,6,2
2,6,2
2,6,2
2,6,2
2,6,3
2,6,5
2,8,1
2,8,2
2,9,2
2,9,2
2,9,2
2,9,2
2,9,2
2,9,3
2,9,5
2,10,1
2,10,1
2,10,1
2,10,1
2,10,1
2,10,1
2,10,1
2,10,1
2,10,1
2,10,2
2,10,2
2,10,2
2,10,6
2,10,7
2,10,17
2,12,1
2,12,1
2,12,1
2,12,1
2,12,1
2,12,1
2,12,2
2,12,2
2,12,2
2,12,2
2,12,3
2,12,3
2,12,4
2,12,5
2,13,1
2,14,1
2,14,1
2,14,1
2,14,2
2,14,2
2,14,2
2,14,5
2,14,6
2,14,7
2,14,8
2,16,1
2,16,2
2,16,6
2,16,23
2,17,1
2,17,1
2,17,1
2,17,1
2,17,1
2,17,2
2,17,2
2,17,2
2,17,2
2,17,2
2,17,3
2,17,3
2,17,13
3,2,8
3,3,2
3,3,3
3,3,8
3,3,20
3,3,20
3,3,25
3,3,36
3,3,45
3,4,3
3,4,4
3,4,5
3,4,10
3,4,70
3,5,1
3,10,10
3,12,3
3,17,3
4,2,1
4,2,1
4,2,4
4,2,5
4,2,10
4,3,1
4,3,2
4,3,2
4,3,3
4,4,3
4,5,1
4,5,1
4,5,1
4,5,1
4,5,1
4,5,2
4,5,2
4,5,2
4,5,2
4,5,3
4,5,3
4,5,3
4,5,3
4,5,4
4,6,1
4,6,1
4,6,2
4,6,8
4,6,11
4,8,2
4,9,1
4,9,3
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,1
4,10,2
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,1
4,12,2
4,12,2
4,12,2
4,12,2
4,12,2
4,13,1
4,13,61
4,13,65
4,14,1
4,14,2
4,14,2
4,14,3
4,14,3
4,14,7
4,16,1
4,16,1
4,16,2
4,16,4
4,16,4
4,16,35
4,17,1
4,17,1
4,17,1
4,17,2
4,17,2
4,17,2
4,17,2
4,17,3
4,17,3
4,17,3
4,17,3
4,17,3
4,17,3
4,17,3
4,17,3
4,17,8
5,2,1
5,2,1
5,2,1
5,2,3
5,2,5
5,3,1
5,3,1
5,3,1
5,3,5
5,3,5
5,3,5
5,3,7
5,3,30
5,3,43
5,3,200
5,4,1
5,4,6
5,4,8
5,4,100
5,5,1
5,5,3
5,6,3
5,6,7
5,9,3
5,10,1
5,10,1
5,17,1
6,2,1
6,2,3
6,5,1
6,5,1
6,5,2
6,5,4
6,5,5
6,5,20
6,6,1
6,6,2
6,6,4
6,6,4
6,8,1
6,8,2
6,8,10
6,9,2
6,10,1
6,10,1
6,10,1
6,10,1
6,10,2
6,12,1
6,12,1
6,12,2
6,12,2
6,12,4
6,13,2
6,14,1
6,14,3
6,14,4
6,14,4
6,14,5
6,14,5
6,14,7
6,14,11
6,16,2
6,16,3
6,16,6
6,16,8
6,17,1
6,17,1
6,17,1
6,17,2
6,17,2
6,17,2
6,17,2
6,17,2
6,17,3
6,17,3
6,17,4
7,2,1
7,3,3
7,3,6
7,3,8
7,3,60
7,3,80
7,3,90
7,3,110
7,4,1
7,4,1
7,4,2
7,4,6
7,6,1
7,6,2
7,6,2
7,9,5
7,10,1
7,10,5
7,12,3
7,12,15
7,13,18
7,16,3
7,16,8
7,17,1
7,17,1
7,17,1
8,2,2
8,3,2
8,3,2
8,3,3
8,3,4
8,3,5
8,3,5
8,3,5
8,3,14
8,3,40
8,4,2
8,4,2
8,4,2
8,4,3
8,4,26
8,5,1
8,5,3
8,6,2
8,6,4
8,6,5
8,9,2
8,9,2
8,9,2
8,9,8
8,9,10
8,10,1
8,10,1
8,10,2
8,10,2
8,12,1
8,12,1
8,12,1
8,12,1
8,12,1
8,12,1
8,12,2
8,12,2
8,12,4
8,12,9
8,13,80
8,14,1
8,16,1
8,16,2
8,16,3
8,16,3
8,16,15
8,17,1
8,17,1
8,17,1
8,17,1
8,17,2
8,17,2
8,17,2
8,17,2
8,17,2
8,17,2
8,17,2
8,17,2
8,17,4
8,17,9
8,17,12
8,17,36
9,2,4
9,2,20
9,3,3
