NAICSn2n3,EmpCatID,EmpCatName,EmpCatDesc,NAICSCodes,NAICSDesc,EmpCatGroupedName
11,1,e01_nrm,Natural Resources & Mining,11-21,"Agriculture, Forestry, Fishing, and Hunting; Mining Quarrying, and Oil and Gas Extraction",Production
21,1,e01_nrm,Natural Resources & Mining,11-21,"Agriculture, Forestry, Fishing, and Hunting; Mining Quarrying, and Oil and Gas Extraction",Production
22,7,e07_utility,Utilities,22,Utilities,Industrial
23,2,e02_constr,Construction,23,Construction,Industrial
31,3,e03_manuf,Manufacturing,31-33,Manufacturing,Production
32,3,e03_manuf,Manufacturing,31-33,Manufacturing,Production
33,3,e03_manuf,Manufacturing,31-33,Manufacturing,Production
42,4,e04_whole,Wholesale Trade,42,Wholesale Trade,Retail
44,5,e05_retail,Retail Trade,44-45,Retail Trade,Retail
45,5,e05_retail,Retail Trade,44-45,Retail Trade,Retail
48,6,e06_trans,Transportation & Warehousing,48-49,Transportation and Warehousing,Transportation
49,6,e06_trans,Transportation & Warehousing,48-49,Transportation and Warehousing,Transportation
51,8,e08_infor,Information,51,Information,Info_FIRE_Prof
52,9,e09_finan,Financial Activities,52-53,Finance and Insurance; Real Estate and Rental and Leasing,Info_FIRE_Prof
53,9,e09_finan,Financial Activities,52-53,Finance and Insurance; Real Estate and Rental and Leasing,Info_FIRE_Prof
54,10,e10_pstsvc,"Professional, Scientific, & Technical Services",54,"Professional, Scientific, and Technical Services",Info_FIRE_Prof
55,11,e11_compmgt,Management of Companies & Enterprises,55,Management of Companies and Enterprises,Info_FIRE_Prof
56,12,e12_admsvc,"Administrative, Support, & Waste Services",56,Administrative and Support and Waste Management and Remediation Services,Ed_Pub_Other_Ser
61,13,e13_edusvc,Education Services,61,Educational Services,Ed_Pub_Other_Ser
71,16,e16_leisure,Leisure & Hospitality,71-72,"Arts, Entertainment, and Recreation; Accommodation and Food Services",Leisure
72,16,e16_leisure,Leisure & Hospitality,71-72,"Arts, Entertainment, and Recreation; Accommodation and Food Services",Leisure
81,17,e17_othsvc,Other Services,81,Other Services (except Public Administration),Ed_Pub_Other_Ser
92,18,e18_pubadm,Public Administration,92,Public Administration,Ed_Pub_Other_Ser
621,14,e14_medfac,Medical Facilities,"621, 623, 624",Health Care and Social Assistance (except Hospitals),Medical_Services
622,15,e15_hospit,Hospitals,622,Hospitals,Medical_Services
623,14,e14_medfac,Medical Facilities,"621, 623, 624",Health Care and Social Assistance (except Hospitals),Medical_Services
624,14,e14_medfac,Medical Facilities,"621, 623, 624",Health Care and Social Assistance (except Hospitals),Medical_Services
