TAZ,ID,TAZ_MDOT,TAZ_TYPE,TAZ_IE,INTERNAL,SEMCOG,BUFFER,EXTERNAL,CountyCode,CountyName,FIPS,STATE_PROV,COUNTRY,DISTRICT,SUPER_DIST,AREA,ZCTA5CE10,SummaryGeog,StationGroup,StationName,StationType,AIRPORT,DistInterstate
1,1,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.120861,48234,Detroit,,,,FALSE,2.5471911799895
2,2,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.242074,48234,Detroit,,,,FALSE,2.63421170898183
3,3,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.124638,48234,Detroit,,,,FALSE,2.49850503557933
4,4,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.247168,48234,Detroit,,,,FALSE,2.78390987244257
5,5,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.132406,48234,Detroit,,,,FALSE,2.19141794427047
6,6,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.242572,48234,Detroit,,,,FALSE,2.51857393089016
7,7,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.125123,48212,Detroit,,,,FALSE,1.9607011065595
8,8,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.248377,48212,Detroit,,,,FALSE,2.31426513994487
9,9,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.479809,48234,Detroit,,,,FALSE,2.94083295805897
10,10,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.211397,48234,Detroit,,,,FALSE,3.16012155229359
11,11,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,5,3,0.136651,48234,Detroit,,,,FALSE,2.74592628814801
12,12,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.29224,48234,Detroit,,,,FALSE,3.07050926491981
13,13,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.245661,48234,Detroit,,,,FALSE,2.56503576546983
14,14,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.24899,48234,Detroit,,,,FALSE,2.11828646206875
15,15,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.490065,48205,Detroit,,,,FALSE,3.21608859110068
16,16,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.500409,48205,Detroit,,,,FALSE,2.76074481789545
17,17,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.498557,48205,Detroit,,,,FALSE,2.28815770930512
18,18,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.12984,48205,Detroit,,,,FALSE,2.12160146169657
19,19,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.279057,48205,Detroit,,,,FALSE,1.93787468034856
20,20,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.183126,48205,Detroit,,,,FALSE,2.98465764270116
21,21,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.194844,48205,Detroit,,,,FALSE,2.65038007934419
22,22,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,8,3,0.258373,48205,Detroit,,,,FALSE,2.53133342665175
23,23,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.360347,48205,Detroit,,,,FALSE,2.30309586116697
24,24,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.497123,48205,Detroit,,,,FALSE,2.03434805081404
25,25,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.464114,48205,Detroit,,,,FALSE,1.59503633039672
26,26,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.3808,48205,Detroit,,,,FALSE,1.70378173942732
27,27,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.503182,48205,Detroit,,,,FALSE,1.63888298010788
28,28,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,9,3,0.383825,48205,Detroit,,,,FALSE,1.46596080049347
29,29,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.410902,48205,Detroit,,,,FALSE,1.40191035121482
30,30,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.535896,48205,Detroit,,,,FALSE,1.47256781294737
31,31,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.39286,48213,Detroit,,,,FALSE,1.00915727144218
32,32,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.423819,48213,Detroit,,,,FALSE,1.0382926828658
33,33,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.49675,48213,Detroit,,,,FALSE,0.429862322005842
34,34,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.368735,48213,Detroit,,,,FALSE,0.389669158986377
35,35,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,7,3,0.363949,48213,Detroit,,,,FALSE,0.367655437310936
36,36,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.454829,48224,Detroit,,,,FALSE,0.510996151638454
37,37,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.299608,48224,Detroit,,,,FALSE,0.214675060646099
38,38,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.37128,48224,Detroit,,,,FALSE,1.0480328578064
39,39,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.422913,48224,Detroit,,,,FALSE,0.864236077328008
40,40,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.407804,48224,Detroit,,,,FALSE,0.364570653822118
41,41,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,10,3,0.375087,48224,Detroit,,,,FALSE,0.271469331016469
42,42,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.039875,48236,Detroit,,,,FALSE,0.819052388795875
43,43,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.605092,48224,Detroit,,,,FALSE,0.307529349337447
44,44,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.440487,48224,Detroit,,,,FALSE,0.768597780629278
45,45,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.265571,48224,Detroit,,,,FALSE,1.22159703551077
46,46,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.196829,48224,Detroit,,,,FALSE,1.15086394606252
47,47,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.216506,48224,Detroit,,,,FALSE,1.03734218147496
48,48,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.338698,48224,Detroit,,,,FALSE,1.14764419640752
49,49,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.238674,48224,Detroit,,,,FALSE,0.176281298470163
50,50,,SEMCOG,INTERNAL,TRUE,TRUE,FALSE,0,1,Detroit,26163,Michigan,US,11,2,0.24484,48224,Detroit,,,,FALSE,0.529714418863472
