LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK
6883,0,50-0003,2019,8448,8119,329,203,92,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,0-99,200-499,200-499
6888,0,50-0004,2019,21987,20975,1012,462,176,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,500-999
5812,1,50-0007,2018,12657,11873,783,212,571,4,Minor Arterial,5,Rural,Other Road,4,Macomb,500-999,200-499,500-999
6655,0,50-0012,2019,30786,30108,678,400,216,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
6211,1,50-0013,2019,32186,31496,690,409,214,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,200-499,200-499,500-999
5207,0,50-0015,2019,15030,14445,585,360,165,4,Minor Arterial,3,Urban,Other Road,4,Macomb,100-199,200-499,500-999
6646,1,50-0016,2018,4053,3911,141,24,123,4,Minor Arterial,4,Suburban,Other Road,4,Macomb,100-199,0-99,100-199
5168,0,50-0017,2019,5062,4861,201,126,55,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,100-199,100-199
5177,0,50-0020,2019,3554,3410,144,89,41,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,100-199
6405,0,50-0021,2019,30444,29682.5,761,396,304,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
6867,0,50-0021,2019,30444,29682.5,761,396,304,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
6043,0,50-0022,2019,31469.5,30683,786,409,314,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
6403,0,50-0022,2019,31469.5,30683,786,409,314,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
19214,0,50-0028,2018,25518,24651,867,612,255,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,500-999
40277,0,50-0030,2019,44659,42649,2010,715,1161,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,1000-1999
5414,1,50-0037,2019,23192,22143,1049,485,177,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,100-199,200-499,500-999
6383,1,50-0038,2019,26428,25338,1090,539,313,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,500-999,500-999
4975,0,50-0039,2019,13363,12668,695,134,555,2,Other Freeway,3,Urban,Freeway/Prin. Art.,4,Macomb,500-999,100-199,500-999
6835,0,50-0051,2019,27433.5,26198.5,1235,439,713,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
20864,0,50-0051,2019,27433.5,26198.5,1235,439,713,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
6354,0,50-0060,2019,30237,29481,756,393,302,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
20562,0,50-0060,2019,30237,29481,756,393,302,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,200-499,200-499,500-999
4032,0,50-0079,2019,46455,44365,2090,743,1208,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,1000-1999
4024,1,50-0080,2019,47878,45694,2184,764,1257,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,2000+
5162,0,50-0082,2019,2584,2479,105,65,30,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,0-99,0-99
5204,0,50-0083,2019,4434,4259,175,110,47,5,Major Collector,3,Urban,Other Road,4,Macomb,0-99,100-199,100-199
4710,0,50-0084,2019,45855,43791,2064,734,1192,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,1000-1999
4696,0,50-0090,2019,45066,43038,2028,721,1172,3,Principal Arterial,3,Urban,Freeway/Prin. Art.,4,Macomb,1000-1999,500-999,1000-1999
6847,0,50-0092,2019,28231.5,26961.5,1270,451,734,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
20574,0,50-0092,2019,28231.5,26961.5,1270,451,734,3,Principal Arterial,4,Suburban,Freeway/Prin. Art.,4,Macomb,500-999,200-499,1000-1999
4208,0,50-0102,2019,21740,18632,3108,369,2695,1,Interstate Freeway,5,Rural,Interstate,4,Macomb,2000+,200-499,2000+
5012,0,50-0102,2019,21740,18632,3108,369,2695,1,Interstate Freeway,5,Rural,Interstate,4,Macomb,2000+,200-499,2000+
4204,0,50-0103,2019,17099,14654,2445,290,2120,1,Interstate Freeway,5,Rural,Interstate,4,Macomb,2000+,200-499,2000+
4797,0,50-0103,2019,17099,14654,2445,290,2120,1,Interstate Freeway,5,Rural,Interstate,4,Macomb,2000+,200-499,2000+
