LINKSERIAL,USECOUNT,LOCAL_ID,AADT_YEAR,AADT,AADT_CAR,AADT_TRUCK,AADT_SUT,AADT_MUT,FCLASS,FCLASS_LABEL,AREATYPE,AREATYPE_LABEL,FCLASS_GROUP,COUNTY,CountyName,VOLUME_GROUP_MUT,VOLUME_GROUP_SUT,VOLUME_GROUP_TRUCK,TOD,NumCountsParent,NumCounts,SUT,MUT,PctSUT,PctMUT
12,0,63-5363,2019,9113,9008,105,53,50,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,0-99,100-199,AM,1,1,13.7596153846154,17.7083333333333,6.51595667175679e-05,5.94420891390772e-05
12,0,63-5363,2019,9113,9008,105,53,50,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,0-99,100-199,MD,1,1,18.0913461538462,8.07291666666667,8.56727636471726e-05,2.70985994604616e-05
12,0,63-5363,2019,9113,9008,105,53,50,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,0-99,100-199,PM,1,1,16.5625,19.2708333333333,7.84328117896651e-05,6.4686979357231e-05
12,0,63-5363,2019,9113,9008,105,53,50,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,0-99,100-199,EV,1,1,3.05769230769231,4.42708333333333,1.44799037150151e-05,1.48605222847693e-05
12,0,63-5363,2019,9113,9008,105,53,50,5,Major Collector,3,Urban,Other Road,3,Oakland,0-99,0-99,100-199,NT,1,1,1.52884615384615,0.520833333333333,7.23995185750755e-06,1.74829673938462e-06
13,0,63-5299,2018,492,484,7,9,0,5,Major Collector,5,Rural,Other Road,3,Oakland,0-99,0-99,0-99,AM,1,1,1.6875,0,7.9912676163055e-06,0
13,0,63-5299,2018,492,484,7,9,0,5,Major Collector,5,Rural,Other Road,3,Oakland,0-99,0-99,0-99,MD,1,1,3.375,0,1.5982535232611e-05,0
13,0,63-5299,2018,492,484,7,9,0,5,Major Collector,5,Rural,Other Road,3,Oakland,0-99,0-99,0-99,PM,1,1,3.09375,0,1.46506572965601e-05,0
13,0,63-5299,2018,492,484,7,9,0,5,Major Collector,5,Rural,Other Road,3,Oakland,0-99,0-99,0-99,EV,1,1,0.84375,0,3.99563380815275e-06,0
13,0,63-5299,2018,492,484,7,9,0,5,Major Collector,5,Rural,Other Road,3,Oakland,0-99,0-99,0-99,NT,1,1,0,0,0,0
