TAZ,StationGroup,StationName,StationType,XI,IX,XIIX,ExtGen,ExtAttr,F_BUFFER_MI,F_BUFFER_OH,F_BUFFER_CAN,F_OTHER_MI,F_Mexico,F_US_Central,F_US_East,F_US_South,F_US_West,F_Canada_West,F_Canada_East,F_Canada_ON,F_Canada_QC,ExtLongHaul,ExtShortHaul
2812,Ohio,Other Road,Other Road,10.8440752476454,10.7969573959708,21.6410326436162,10.8205163218081,10.8205163218081,0,0.00213604448292579,0,0,0,0,0,0,0,0,0,0,0,0,10.8205163218081
2813,Ohio,I-75 S,Major Highway,8643.2439003028,8778.03557508439,17421.2794753872,8710.63973769359,8710.63973769359,0,0.474176985808151,0,0,0.528533489322948,0.528533489322948,0.528533489322948,0.528533489322948,0,0,0,0,0,6308.61119597754,2402.02854171606
2814,Ohio,Other Road,Other Road,6.95764218159638,7.00972871753402,13.9673708991304,6.9836854495652,6.9836854495652,0,0.00137862763027006,0,0,0,0,0,0,0,0,0,0,0,0,6.9836854495652
2815,Ohio,Other Road,Other Road,133.121872030199,135.60772154294,268.729593573138,134.364796786569,134.364796786569,0,0.0265245367540314,0,0,0,0,0,0,0,0,0,0,0,0,134.364796786569
2816,Ohio,Other Road,Other Road,110.932121755555,111.606269938871,222.538391694427,111.269195847213,111.269195847213,0,0.0219653059835978,0,0,0,0,0,0,0,0,0,0,0,0,111.269195847213
2817,Ohio,Other Road,Other Road,27.1303954292089,27.329483538866,54.4598789680749,27.2299394840375,27.2299394840375,0,0.00537537768766677,0,0,0,0,0,0,0,0,0,0,0,0,27.2299394840375
2818,Ohio,Other Road,Other Road,3.40962007082999,3.92211984656751,7.3317399173975,3.66586995869875,3.66586995869875,0,0.000723667990280652,0,0,0,0,0,0,0,0,0,0,0,0,3.66586995869875
2819,Ohio,Other Road,Other Road,2.8282114090398,2.95924600958824,5.78745741862804,2.89372870931402,2.89372870931402,0,0.000571241987053471,0,0,0,0,0,0,0,0,0,0,0,0,2.89372870931402
2820,Ohio,Other Road,Other Road,43.9138004519045,43.4066035989672,87.3204040508717,43.6602020254359,43.6602020254359,0,0.00861882472945375,0,0,0,0,0,0,0,0,0,0,0,0,43.6602020254359
2821,Ohio,Other Road,Other Road,0.101415005279705,0.11084895953536,0.212263964815065,0.106131982407533,0.106131982407533,0,2.09511846515754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.106131982407533
2822,Ohio,Other Road,Other Road,1.76868095900863,1.91918256320059,3.68786352220923,1.84393176110461,1.84393176110461,0,0.000364004835634404,0,0,0,0,0,0,0,0,0,0,0,0,1.84393176110461
2823,Ohio,US-23 S,Major Highway,2805.75340947695,3055.16655306332,5860.91996254027,2930.45998127013,2930.45998127013,0,0.159524067438703,0,0,0.177810848096453,0.177810848096453,0.177810848096453,0.177810848096453,0,0,0,0,0,2122.36221493646,808.097766333678
2824,Ohio,Other Road,Other Road,3.51171343028545,3.23006081581116,6.74177424609661,3.37088712304831,3.37088712304831,0,0.000665436345883146,0,0,0,0,0,0,0,0,0,0,0,0,3.37088712304831
