tag,num_rows,rss,uss,bytes,uss_row_size,hybrid_uss_row_size,bytes_row_size
atwork_subtour_frequency.simple_simulate,1497101,342913024,339849216,347327432,228,232,232
atwork_subtour_mode_choice.simple_simulate,357931,2255646720,840314880,901986120,2348,2520,2520
atwork_subtour_scheduling.tour_1,354139,239773868032,248095027200,120349626180,700559,700559,339838
atwork_subtour_scheduling.tour_n,3792,334970880,341164032,685814166,89970,180859,180859
auto_ownership_simulate.simple_simulate,1938208,522969088,493219840,387641600,255,255,200
cdap.cdap,1938208,12394586112,13165457408,7223352456,6793,6793,3727
compute_accessibility,28637,18865545216,10014171136,10414990473,349694,363690,363690
free_parking.simple_simulate,2262819,104521728,98574336,144820416,44,64,64
joint_tour_composition.simple_simulate,303641,32968704,32759808,60728200,108,200,200
joint_tour_frequency.simple_simulate,1148522,1115213824,1115189248,854500368,971,971,744
joint_tour_participation,254238,1673580544,1671983104,440508200,6577,6577,1733
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_1,254238,198479482880,198645035008,192780222504,781335,781335,758267
joint_tour_scheduling.vectorize_joint_tour_scheduling.tour_n,49403,28591915008,29313900544,22557513476,593363,593363,456603
mandatory_tour_frequency.simple_simulate,2415988,2145562624,2137980928,2126069440,885,885,880
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.school,822249,595958145024,616013574144,407302689355,749182,749182,495353
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.univ,143366,100078837760,96480763904,71016552690,672969,672969,495352
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.work,1450373,1745899765760,1079471005696,718437050015,744272,744272,495347
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.school,20096,3065356288,3033870336,2781581375,150969,150969,138415
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.univ,23558,7339036672,7252811776,5259720857,307871,307871,223267
mandatory_tour_scheduling.vectorize_tour_scheduling.tour_n.work,46728,21240176640,22467719168,7104579562,480820,480820,152042
non_mandatory_tour_frequency.PTYPE_DRIVING.interaction_simulate,121208,13154267136,13154287616,13265003520,108527,109440,109440
non_mandatory_tour_frequency.PTYPE_FULL.interaction_simulate,1552882,222039707648,231386329088,169947406080,149005,149005,109440
non_mandatory_tour_frequency.PTYPE_NONWORK.interaction_simulate,552670,60338819072,60363857920,60484204800,109223,109440,109440
non_mandatory_tour_frequency.PTYPE_PART.interaction_simulate,314576,34298126336,34297958400,34427197440,109030,109440,109440
non_mandatory_tour_frequency.PTYPE_PRESCHOOL.interaction_simulate,246582,27320397824,27309400064,26985934080,110752,110752,109440
non_mandatory_tour_frequency.PTYPE_RETIRED.interaction_simulate,507401,55247499264,55244595200,55529965440,108878,109440,109440
non_mandatory_tour_frequency.PTYPE_SCHOOL.interaction_simulate,561874,61232762880,61231226880,61491490560,108977,109440,109440
non_mandatory_tour_frequency.PTYPE_UNIVERSITY.interaction_simulate,194556,21113434112,21112033280,21292208640,108514,109440,109440
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.eatout,154200,99819261952,97500127232,44302470312,632297,632297,287306
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.escort,376693,254772060160,263893725184,117206694558,700554,700554,311147
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.othdiscr,350155,290011721728,282353655808,103068844994,806368,806368,294353
non_mandatory_tour_scheduling.vectorize_tour_scheduling.tour_1.othmaint,272367,257079566336,247317508096,89376740346,908031,908031,328149
